species_pair,ARG,CAZyme,Virulence
100_1-101_1,0,0,0
100_1-102_2,0,0,0
100_1-104_1,0,0,0
100_1-14_1,0,0,0
100_1-175_1,0,0,0
100_1-204_1,0,0,0
100_1-223_1,0,0,0
100_1-224_1,0,0,0
100_1-226_2,0,0,0
100_1-229_3,0,0,0
100_1-22_2,0,0,0
100_1-233_3,0,0,0
100_1-26_2,0,0,0
100_1-294_2,0,0,0
100_1-308_1,0,0,0
100_1-32_1,0,0,0
100_1-334_1,0,0,0
100_1-335_1,0,0,0
100_1-336_1,0,0,0
100_1-338_1,0,0,0
100_1-37_1,0,0,0
100_1-40_1,0,0,0
100_1-42_1,0,0,0
100_1-44_1,0,0,0
100_1-44_3,0,0,0
100_1-45_1,0,0,0
100_1-46_1,0,0,0
100_1-47_2,0,0,0
100_1-48_2,0,0,0
100_1-50_1,0,0,0
100_1-51_1,0,0,0
100_1-52_1,0,0,0
100_1-66_5,0,0,0
100_1-92_1,0,0,0
100_1-96_1,0,0,0
100_1-97_1,0,0,0
101_1-102_1,0,0,0
101_1-102_2,0,0,0
101_1-104_1,0,0,0
101_1-106_1,0,0,0
101_1-107_1,0,0,0
101_1-10_2,0,0,0
101_1-112_1,0,0,0
101_1-113_1,0,0,0
101_1-114_1,0,0,0
101_1-119_1,0,0,0
101_1-11_1,0,0,0
101_1-120_1,0,0,0
101_1-125_1,0,0,0
101_1-134_1,0,0,0
101_1-144_1,0,0,0
101_1-152_1,0,0,0
101_1-153_1,0,0,0
101_1-154_1,0,0,0
101_1-179_1,0,0,0
101_1-180_1,0,0,0
101_1-181_3,0,0,0
101_1-193_2,0,0,0
101_1-201_1,0,0,0
101_1-204_1,0,0,0
101_1-20_1,0,0,0
101_1-219_1,0,0,0
101_1-223_1,0,0,0
101_1-226_1,0,0,0
101_1-226_2,0,0,0
101_1-229_2,0,0,0
101_1-229_3,0,0,0
101_1-22_1,0,0,0
101_1-233_1,0,0,0
101_1-233_3,0,0,0
101_1-239_1,0,0,0
101_1-267_1,0,0,0
101_1-26_2,0,0,0
101_1-26_3,0,0,0
101_1-283_1,0,0,0
101_1-290_1,0,0,0
101_1-294_2,0,0,0
101_1-297_1,0,0,0
101_1-308_1,0,0,0
101_1-318_28,0,0,0
101_1-318_30,0,0,0
101_1-318_38,0,0,0
101_1-318_39,0,0,0
101_1-318_42,0,0,0
101_1-318_54,0,0,0
101_1-318_56,0,0,0
101_1-321_1,0,0,0
101_1-325_1,0,0,0
101_1-326_1,0,0,0
101_1-32_1,0,0,0
101_1-330_1,0,0,0
101_1-333_1,0,0,0
101_1-334_1,0,0,0
101_1-334_3,0,0,0
101_1-335_1,0,0,0
101_1-336_1,0,0,0
101_1-337_1,0,0,0
101_1-338_1,0,0,0
101_1-36_1,0,0,0
101_1-37_1,0,0,0
101_1-39_2,0,0,0
101_1-39_5,0,0,0
101_1-42_2,0,0,0
101_1-43_1,0,0,0
101_1-44_1,0,0,0
101_1-44_3,0,0,0
101_1-44_4,0,0,0
101_1-44_5,0,0,0
101_1-45_1,0,0,0
101_1-46_1,0,0,0
101_1-48_2,0,0,0
101_1-4_2,0,0,0
101_1-50_1,0,0,0
101_1-51_1,0,0,0
101_1-52_1,0,0,0
101_1-55_1,0,0,0
101_1-66_3,0,0,0
101_1-66_4,0,0,0
101_1-66_5,0,0,0
101_1-67_2,0,0,0
101_1-69_1,0,0,0
101_1-69_3,0,0,0
101_1-72_1,0,0,0
101_1-75_1,0,0,0
101_1-76_2,0,0,0
101_1-76_3,0,0,0
101_1-77_2,0,0,0
101_1-80_1,0,0,0
101_1-90_1,0,0,0
101_1-92_1,0,0,0
101_1-96_1,0,0,0
101_1-97_1,0,0,0
102_1-102_2,0,0,0
102_1-104_1,0,0,0
102_1-107_1,0,0,0
102_1-109_2,0,0,0
102_1-10_2,0,0,0
102_1-112_1,0,0,0
102_1-113_1,0,0,0
102_1-114_1,0,0,0
102_1-114_2,0,0,0
102_1-116_1,0,0,0
102_1-119_1,0,0,0
102_1-11_1,0,0,0
102_1-120_1,0,0,0
102_1-122_1,0,0,0
102_1-123_0,0,0,0
102_1-124_1,0,0,0
102_1-125_1,0,0,0
102_1-12_1,0,0,0
102_1-13_1,0,0,0
102_1-142_1,0,0,0
102_1-142_2,0,0,0
102_1-144_1,0,0,0
102_1-147_1,0,0,0
102_1-14_1,0,0,0
102_1-150_1,0,0,0
102_1-153_1,0,0,0
102_1-153_2,0,0,0
102_1-176_2,0,0,0
102_1-178_1,0,0,0
102_1-179_1,0,0,0
102_1-180_1,0,0,0
102_1-181_1,0,0,0
102_1-181_3,0,0,0
102_1-186_1,0,0,0
102_1-193_1,0,0,0
102_1-193_2,0,0,0
102_1-196_1,0,0,0
102_1-200_1,0,0,0
102_1-201_1,0,0,0
102_1-203_1,0,0,0
102_1-204_1,0,0,0
102_1-20_1,0,0,0
102_1-210_1,0,0,0
102_1-223_1,0,0,0
102_1-226_1,0,0,0
102_1-226_2,0,0,0
102_1-228_1,0,0,0
102_1-228_2,0,0,0
102_1-229_1,0,0,0
102_1-229_2,0,0,0
102_1-229_3,0,0,0
102_1-22_1,0,0,0
102_1-233_1,0,0,0
102_1-233_2,0,0,0
102_1-233_3,0,0,0
102_1-234_1,0,0,0
102_1-234_2,0,0,0
102_1-236_1,0,0,0
102_1-238_3,0,0,0
102_1-239_1,0,0,0
102_1-240_1,0,0,0
102_1-246_1,0,0,0
102_1-24_2,0,0,0
102_1-250_1,0,0,0
102_1-252_1,0,0,0
102_1-25_1,0,0,0
102_1-265_1,0,0,0
102_1-266_1,0,0,0
102_1-267_1,0,0,0
102_1-269_1,0,0,0
102_1-26_2,0,0,0
102_1-26_3,0,0,0
102_1-283_1,0,0,0
102_1-288_1,0,0,0
102_1-294_2,0,0,0
102_1-297_1,0,0,0
102_1-298_1,0,0,0
102_1-300_1,0,0,0
102_1-301_1,0,0,0
102_1-312_1,0,0,0
102_1-318_13,0,0,0
102_1-318_15,0,0,0
102_1-318_19,0,0,0
102_1-318_21,0,0,0
102_1-318_26,0,0,0
102_1-318_38,0,0,0
102_1-318_39,0,0,0
102_1-318_40,0,0,0
102_1-318_42,0,0,0
102_1-318_47,0,0,0
102_1-318_5,0,0,0
102_1-318_54,0,0,0
102_1-318_56,0,0,0
102_1-318_65,0,0,0
102_1-318_66,0,0,0
102_1-318_79,0,0,0
102_1-318_8,0,0,0
102_1-318_81,0,0,0
102_1-318_82,0,0,0
102_1-321_1,0,0,0
102_1-325_1,0,0,0
102_1-326_1,0,0,0
102_1-32_1,0,0,0
102_1-330_1,0,0,0
102_1-332_1,0,0,0
102_1-333_1,0,0,0
102_1-334_1,0,0,0
102_1-334_3,0,0,0
102_1-335_1,0,0,0
102_1-336_1,0,0,0
102_1-337_1,0,0,0
102_1-338_1,0,0,0
102_1-33_1,0,0,0
102_1-36_1,0,0,0
102_1-37_1,0,0,0
102_1-38_1,0,0,0
102_1-39_2,0,0,0
102_1-39_3,0,0,0
102_1-39_5,0,0,0
102_1-40_1,0,0,0
102_1-41_1,0,0,0
102_1-42_1,0,0,0
102_1-42_2,0,0,0
102_1-43_1,0,0,0
102_1-44_1,0,0,0
102_1-44_3,0,0,0
102_1-44_5,0,0,0
102_1-45_1,0,0,0
102_1-46_1,0,0,0
102_1-47_2,0,0,0
102_1-48_2,0,0,0
102_1-4_2,0,0,0
102_1-4_3,0,0,0
102_1-50_1,0,0,0
102_1-51_1,0,0,0
102_1-52_1,0,0,0
102_1-54_1,0,0,0
102_1-66_2,0,0,0
102_1-66_3,0,0,0
102_1-66_5,0,0,0
102_1-68_1,0,0,0
102_1-69_1,0,0,0
102_1-76_2,0,0,0
102_1-76_3,0,0,0
102_1-77_2,0,0,0
102_1-78_3,0,0,0
102_1-80_1,0,0,0
102_1-84_1,0,0,0
102_1-86_1,0,0,0
102_1-90_1,0,0,0
102_1-91_1,0,0,0
102_1-92_1,0,0,0
102_1-96_1,0,0,0
102_1-97_1,0,0,0
102_1-99_2,0,0,0
102_2-104_1,0,0,0
102_2-107_1,0,0,0
102_2-109_1,0,0,0
102_2-10_1,0,0,0
102_2-10_2,0,0,0
102_2-112_1,0,0,0
102_2-113_1,0,0,0
102_2-114_1,0,0,0
102_2-114_2,0,0,0
102_2-116_1,0,0,0
102_2-119_1,0,0,0
