trait,trait_id,trait_value,bin,phylo_dist_mean,hgt_rate_mean,n_pairs,n_bins
gram positive,gram_positive,0,"(0.00196, 0.0714]",0.04408506103124987,0.28038472418316623,64,28
gram positive,gram_positive,0,"(0.0714, 0.138]",0.10214238727272715,0.3602442190058755,33,28
gram positive,gram_positive,0,"(0.138, 0.204]",0.17518924761111096,0.3636335963833194,108,28
gram positive,gram_positive,0,"(0.204, 0.271]",0.24269156141509426,0.5307385690726967,53,28
gram positive,gram_positive,0,"(0.271, 0.337]",0.2899696244285713,0.2758266097136529,7,28
gram positive,gram_positive,0,"(0.337, 0.404]",0.37998457225,0.08823529411764705,4,28
gram positive,gram_positive,0,"(0.404, 0.47]",0.4407075618437498,0.3180840468171286,32,28
gram positive,gram_positive,0,"(0.47, 0.537]",0.49360213822499976,0.27521243236824566,120,28
gram positive,gram_positive,0,"(0.537, 0.603]",0.5759422955000002,0.0,2,28
gram positive,gram_positive,0,"(0.603, 0.67]",0.615100429,0.0,1,28
gram positive,gram_positive,0,"(0.67, 0.736]",0.6842550529999998,0.0,1,28
gram positive,gram_positive,0,"(0.736, 0.803]",0.7730750399999997,0.0,1,28
gram positive,gram_positive,0,"(0.803, 0.869]",0.8573353918461536,0.1965700979069286,13,28
gram positive,gram_positive,0,"(0.869, 0.936]",0.9010270093902437,0.3161904690176486,41,28
gram positive,gram_positive,0,"(0.936, 1.002]",0.9702385348124997,0.19622983463175467,16,28
gram positive,gram_positive,0,"(1.002, 1.069]",1.043859012533333,0.1715004744812195,75,28
gram positive,gram_positive,0,"(1.069, 1.135]",1.0967817789166663,0.11692109903487745,12,28
gram positive,gram_positive,0,"(1.135, 1.202]",1.152320376285714,0.16403367464184487,21,28
gram positive,gram_positive,0,"(1.335, 1.401]",1.3753692410000002,0.0,1,28
gram positive,gram_positive,0,"(1.401, 1.468]",1.4371530356666666,0.0,3,28
gram positive,gram_positive,0,"(1.468, 1.534]",1.4853808830000002,0.0,1,28
gram positive,gram_positive,0,"(1.534, 1.601]",1.5857042561304346,0.0,23,28
gram positive,gram_positive,0,"(1.601, 1.667]",1.6130700056666665,0.0,6,28
gram positive,gram_positive,0,"(1.667, 1.734]",1.7096723959687499,0.0,32,28
gram positive,gram_positive,0,"(1.734, 1.8]",1.7750999449787233,4.506162176776742e-05,47,28
gram positive,gram_positive,0,"(1.8, 1.867]",1.818448638352,0.0002109312500784753,125,28
gram positive,gram_positive,0,"(1.867, 1.933]",1.9028395939999998,8.990306974560801e-05,58,28
gram positive,gram_positive,0,"(1.933, 2.0]",1.9543987536,0.0,5,28
gram positive,gram_positive,1,"(1.002, 1.069]",1.0684984529999997,0.0,1,15
gram positive,gram_positive,1,"(1.069, 1.135]",1.1166646356666663,0.0,3,15
gram positive,gram_positive,1,"(1.135, 1.202]",1.1865915024074072,0.0,27,15
gram positive,gram_positive,1,"(1.202, 1.268]",1.2265667417399997,0.0,50,15
gram positive,gram_positive,1,"(1.268, 1.335]",1.3000366021249998,0.0,16,15
gram positive,gram_positive,1,"(1.335, 1.401]",1.3830270489836065,1.8357718502744478e-05,61,15
gram positive,gram_positive,1,"(1.401, 1.468]",1.4276051505531913,0.0002246397740765701,47,15
gram positive,gram_positive,1,"(1.468, 1.534]",1.5083883827246376,5.573910344532199e-05,69,15
gram positive,gram_positive,1,"(1.534, 1.601]",1.557804911764045,0.0011000666882920315,89,15
gram positive,gram_positive,1,"(1.601, 1.667]",1.6281938948461536,0.0,52,15
gram positive,gram_positive,1,"(1.667, 1.734]",1.7030541943731343,0.0003596475454055026,67,15
gram positive,gram_positive,1,"(1.734, 1.8]",1.7773466613005462,0.00392618037989745,183,15
gram positive,gram_positive,1,"(1.8, 1.867]",1.8378701188347826,0.0008114028950297007,115,15
