metric	value
trait	gram positive
trait_id	gram_positive
species_pair_rows_before_phylo_filter	5303
species_pair_rows_phylo_le_2	3661
binned_rows_plotted	73
trait_level_0_species_pairs_phylo_le_2	905
trait_level_1_species_pairs_phylo_le_2	1171
trait_level_2_species_pairs_phylo_le_2	1585
US_main_p	4.205722654297478e-49
NL_main_p	5.263476769998734e-63
US_delta_R2	0.1331683402428806
NL_delta_R2	0.1629259001764917
US_downsampling_prop_p_lt_0_05	1.0
NL_downsampling_prop_p_lt_0_05	1.0
US_direction	suppresses_monotonic_0>1>2
NL_DAG3_RISEUP_direction	suppresses_monotonic_0>1>2
overall_direction	suppresses_HGT
