trait,trait_id,trait_value,bin,phylo_dist_mean,hgt_rate_mean,n_pairs,n_bins
obligate anaerobic,obligate_anaerobic,0,"(0.00196, 0.0714]",0.043033909205128104,0.13505762530152773,39,22
obligate anaerobic,obligate_anaerobic,0,"(0.0714, 0.138]",0.10872897456249993,0.007199522510231923,16,22
obligate anaerobic,obligate_anaerobic,0,"(0.138, 0.204]",0.1682763417142857,0.0,14,22
obligate anaerobic,obligate_anaerobic,0,"(0.204, 0.271]",0.228001565212121,0.0012605042016806721,33,22
obligate anaerobic,obligate_anaerobic,0,"(0.271, 0.337]",0.2940366691818182,0.0404040404040404,11,22
obligate anaerobic,obligate_anaerobic,0,"(0.337, 0.404]",0.3690357546666667,0.0,3,22
obligate anaerobic,obligate_anaerobic,0,"(0.404, 0.47]",0.43443469399999984,0.0,7,22
obligate anaerobic,obligate_anaerobic,0,"(0.47, 0.537]",0.5135744333333333,0.0,24,22
obligate anaerobic,obligate_anaerobic,0,"(0.537, 0.603]",0.5609311224545455,0.021555296555296557,22,22
obligate anaerobic,obligate_anaerobic,0,"(0.603, 0.67]",0.6390236288648646,0.0,37,22
obligate anaerobic,obligate_anaerobic,0,"(0.67, 0.736]",0.7105141927551017,0.002074730185329264,49,22
obligate anaerobic,obligate_anaerobic,0,"(0.736, 0.803]",0.7739145236199998,0.023571428571428573,50,22
obligate anaerobic,obligate_anaerobic,0,"(0.803, 0.869]",0.8400171736962023,0.0013084403822485582,79,22
obligate anaerobic,obligate_anaerobic,0,"(0.869, 0.936]",0.8993304738095235,0.003968253968253968,42,22
obligate anaerobic,obligate_anaerobic,0,"(0.936, 1.002]",0.954462506833333,0.011326860841423947,12,22
obligate anaerobic,obligate_anaerobic,0,"(1.002, 1.069]",1.0259194119999995,0.0,2,22
obligate anaerobic,obligate_anaerobic,0,"(1.069, 1.135]",1.0767957569999993,0.0,1,22
obligate anaerobic,obligate_anaerobic,0,"(1.667, 1.734]",1.7048602709999998,0.0,1,22
obligate anaerobic,obligate_anaerobic,0,"(1.734, 1.8]",1.7753558349999998,0.0,6,22
obligate anaerobic,obligate_anaerobic,0,"(1.8, 1.867]",1.847383138875,0.0,16,22
obligate anaerobic,obligate_anaerobic,0,"(1.867, 1.933]",1.9079366909583333,0.0,24,22
obligate anaerobic,obligate_anaerobic,0,"(1.933, 2.0]",1.9548605809041093,0.0,73,22
