metric	value
trait	obligate anaerobic
trait_id	obligate_anaerobic
species_pair_rows_before_phylo_filter	4756
species_pair_rows_phylo_le_2	3323
binned_rows_plotted	73
trait_level_0_species_pairs_phylo_le_2	561
trait_level_1_species_pairs_phylo_le_2	1226
trait_level_2_species_pairs_phylo_le_2	1536
US_main_p	3.5401987577376926e-39
NL_main_p	5.059411468526365e-32
US_delta_R2	0.0952164393380715
NL_delta_R2	0.1045824669883763
US_downsampling_prop_p_lt_0_05	1.0
NL_downsampling_prop_p_lt_0_05	1.0
US_direction	promotes_monotonic_0<1<2
NL_DAG3_RISEUP_direction	promotes_monotonic_0<1<2
overall_direction	promotes_HGT
