trait,trait_id,trait_value,bin,phylo_dist_mean,hgt_rate_mean,n_pairs,n_bins
presence of motility,presence_of_motility,0,"(0.00196, 0.0714]",0.034545099615384565,0.29441450761821275,78,30
presence of motility,presence_of_motility,0,"(0.0714, 0.138]",0.1086528097674418,0.2858186093107794,43,30
presence of motility,presence_of_motility,0,"(0.138, 0.204]",0.1762072482753622,0.28507063560264173,138,30
presence of motility,presence_of_motility,0,"(0.204, 0.271]",0.23610855707843126,0.278181108842764,102,30
presence of motility,presence_of_motility,0,"(0.271, 0.337]",0.29163061436363624,0.12095204537065002,22,30
presence of motility,presence_of_motility,0,"(0.337, 0.404]",0.37395269859999997,0.07058823529411765,5,30
presence of motility,presence_of_motility,0,"(0.404, 0.47]",0.43963615292682917,0.25871368113950105,41,30
presence of motility,presence_of_motility,0,"(0.47, 0.537]",0.4976703550066665,0.2268366125612632,150,30
presence of motility,presence_of_motility,0,"(0.537, 0.603]",0.5689913397368421,0.043845391223705434,38,30
presence of motility,presence_of_motility,0,"(0.603, 0.67]",0.6371192348749998,0.0,40,30
presence of motility,presence_of_motility,0,"(0.67, 0.736]",0.7127476173148145,0.0018826255385395172,54,30
presence of motility,presence_of_motility,0,"(0.736, 0.803]",0.7720757310701752,0.020676691729323307,57,30
presence of motility,presence_of_motility,0,"(0.803, 0.869]",0.8421857239368419,0.028465606404655296,95,30
presence of motility,presence_of_motility,0,"(0.869, 0.936]",0.9001051210999997,0.14589417662655843,90,30
presence of motility,presence_of_motility,0,"(0.936, 1.002]",0.967786038333333,0.10116102409177093,36,30
presence of motility,presence_of_motility,0,"(1.002, 1.069]",1.0436118499423075,0.08319523823933679,156,30
presence of motility,presence_of_motility,0,"(1.069, 1.135]",1.09670149352,0.0280811340142311,50,30
presence of motility,presence_of_motility,0,"(1.135, 1.202]",1.1714529851206894,0.05939150288756452,58,30
presence of motility,presence_of_motility,0,"(1.202, 1.268]",1.2269412534655169,0.0,58,30
presence of motility,presence_of_motility,0,"(1.268, 1.335]",1.293920497105263,0.0,19,30
presence of motility,presence_of_motility,0,"(1.335, 1.401]",1.3748168969365078,0.0,63,30
presence of motility,presence_of_motility,0,"(1.401, 1.468]",1.4384646204999998,0.0,34,30
presence of motility,presence_of_motility,0,"(1.468, 1.534]",1.5062562760147056,0.0,68,30
presence of motility,presence_of_motility,0,"(1.534, 1.601]",1.5637730476976743,0.0,86,30
presence of motility,presence_of_motility,0,"(1.601, 1.667]",1.6337777859479166,0.0,96,30
presence of motility,presence_of_motility,0,"(1.667, 1.734]",1.703636502422222,0.0003754147022874105,180,30
presence of motility,presence_of_motility,0,"(1.734, 1.8]",1.7732022614182508,0.003999332102108618,263,30
presence of motility,presence_of_motility,0,"(1.8, 1.867]",1.834741242299003,0.00039834238760971086,301,30
presence of motility,presence_of_motility,0,"(1.867, 1.933]",1.8975151400934578,0.0008307179774501299,321,30
presence of motility,presence_of_motility,0,"(1.933, 2.0]",1.9614163311356785,0.0003388887081254155,199,30
presence of motility,presence_of_motility,1,"(0.00196, 0.0714]",0.06251359869999966,0.11672473867595819,10,25
presence of motility,presence_of_motility,1,"(0.0714, 0.138]",0.0813673732499996,0.005798090040927694,4,25
presence of motility,presence_of_motility,1,"(0.204, 0.271]",0.2418082290000001,0.0,1,25
presence of motility,presence_of_motility,1,"(0.337, 0.404]",0.37099066799999986,0.0,2,25
presence of motility,presence_of_motility,1,"(0.47, 0.537]",0.5362578280000001,0.0,1,25
presence of motility,presence_of_motility,1,"(0.603, 0.67]",0.6056071900000002,0.0,1,25
presence of motility,presence_of_motility,1,"(0.67, 0.736]",0.6744664380000001,0.0,1,25
presence of motility,presence_of_motility,1,"(0.736, 0.803]",0.7660479444999995,0.0,4,25
presence of motility,presence_of_motility,1,"(0.803, 0.869]",0.834466411333333,0.0,6,25
presence of motility,presence_of_motility,1,"(0.869, 0.936]",0.9043971317499997,0.0,4,25
presence of motility,presence_of_motility,1,"(0.936, 1.002]",0.9593942289999996,0.0,5,25
presence of motility,presence_of_motility,1,"(1.002, 1.069]",1.0401124256666663,0.0,3,25
presence of motility,presence_of_motility,1,"(1.069, 1.135]",1.0767957569999993,0.0,1,25
presence of motility,presence_of_motility,1,"(1.202, 1.268]",1.2320867899999994,0.0,3,25
presence of motility,presence_of_motility,1,"(1.268, 1.335]",1.2969150615999996,0.0,5,25
presence of motility,presence_of_motility,1,"(1.335, 1.401]",1.3900431117499998,3.9993601023836184e-05,28,25
presence of motility,presence_of_motility,1,"(1.401, 1.468]",1.4244244058648647,0.00028535322652969714,37,25
presence of motility,presence_of_motility,1,"(1.468, 1.534]",1.5088286754210525,0.00010121047730861099,38,25
presence of motility,presence_of_motility,1,"(1.534, 1.601]",1.566599481014706,0.0014397931655586883,68,25
presence of motility,presence_of_motility,1,"(1.601, 1.667]",1.6243660103181816,0.0,22,25
presence of motility,presence_of_motility,1,"(1.667, 1.734]",1.703888635121212,0.0,33,25
presence of motility,presence_of_motility,1,"(1.734, 1.8]",1.7690115793599999,4.235792446170138e-05,50,25
presence of motility,presence_of_motility,1,"(1.8, 1.867]",1.824331588714286,0.00025110863104580393,105,25
presence of motility,presence_of_motility,1,"(1.867, 1.933]",1.9087374617321426,9.311389366509401e-05,56,25
presence of motility,presence_of_motility,1,"(1.933, 2.0]",1.958507165611111,0.0,54,25
presence of motility,presence_of_motility,2,"(0.00196, 0.0714]",0.0409347843076922,0.035256410256410256,13,10
presence of motility,presence_of_motility,2,"(0.138, 0.204]",0.1595274450000001,0.0,1,10
presence of motility,presence_of_motility,2,"(0.337, 0.404]",0.3754049180000001,0.0,1,10
presence of motility,presence_of_motility,2,"(0.936, 1.002]",0.991045083,0.0,1,10
presence of motility,presence_of_motility,2,"(1.401, 1.468]",1.4528199659999999,0.0,2,10
presence of motility,presence_of_motility,2,"(1.667, 1.734]",1.7048602709999998,0.0,1,10
presence of motility,presence_of_motility,2,"(1.734, 1.8]",1.7742942549999998,0.0,4,10
presence of motility,presence_of_motility,2,"(1.8, 1.867]",1.8361530467999998,0.0,5,10
presence of motility,presence_of_motility,2,"(1.867, 1.933]",1.8936144304,0.0,5,10
presence of motility,presence_of_motility,2,"(1.933, 2.0]",1.97734391,0.0,2,10
