species_pair,n_total_pairs,n_hgt_pairs,hgt_rate,phylo_dist,trait_value
100_1-101_1,2,0,0.0,0.8885244830000003,0
100_1-102_2,1,0,0.0,0.3599235919999999,0
100_1-104_1,3,0,0.0,0.2820549529999998,0
100_1-14_1,2,0,0.0,2.363446739,0
100_1-175_1,1,0,0.0,1.2729026559999994,0
100_1-223_1,2,0,0.0,0.7730190079999999,0
100_1-229_3,5,0,0.0,0.8597524619999994,0
100_1-233_3,2,0,0.0,0.8620850989999997,0
100_1-26_2,11,0,0.0,2.616129753,0
100_1-308_1,1,0,0.0,1.988396839,0
100_1-32_1,5,0,0.0,2.500392434,0
100_1-334_1,6,0,0.0,2.020803734,0
100_1-335_1,26,0,0.0,2.018007237,0
100_1-336_1,13,0,0.0,2.035995785,0
100_1-338_1,37,0,0.0,2.052173019,0
100_1-37_1,1,0,0.0,2.511559367,0
100_1-40_1,1,0,0.0,2.506977908,0
100_1-42_1,4,0,0.0,2.5016589449999995,0
100_1-44_1,12,0,0.0,2.512527814,0
100_1-44_3,3,0,0.0,2.513238254,0
100_1-45_1,12,0,0.0,2.5927045669999997,0
100_1-46_1,11,0,0.0,2.4613279429999992,0
100_1-47_2,1,0,0.0,2.4657374579999995,0
100_1-48_2,5,0,0.0,2.5235499429999995,0
100_1-50_1,1,0,0.0,2.5185128599999995,0
100_1-51_1,1,0,0.0,2.521091089999999,0
100_1-52_1,2,0,0.0,2.5256259309999995,0
100_1-66_5,12,0,0.0,2.13505212,1
100_1-96_1,5,0,0.0,0.6369715930000002,0
100_1-97_1,9,0,0.0,0.669119674,0
101_1-102_1,34,0,0.0,0.9496774879999998,0
101_1-102_2,3,0,0.0,0.950083105,0
101_1-104_1,10,0,0.0,0.872214466,0
101_1-106_1,10,0,0.0,0.8896566409999997,0
101_1-107_1,2,0,0.0,0.8854343,0
101_1-10_2,3,0,0.0,2.296728025,0
101_1-112_1,22,0,0.0,0.2274179049999998,0
101_1-113_1,20,0,0.0,0.3105575800000002,0
101_1-114_1,1,0,0.0,0.3064036209999998,0
101_1-119_1,33,0,0.0,0.5715660599999999,0
101_1-11_1,10,0,0.0,2.279961686,0
101_1-120_1,80,0,0.0,0.5713647339999999,0
101_1-125_1,55,0,0.0,0.543747362,0
101_1-134_1,3,0,0.0,1.3705398420000003,0
101_1-152_1,13,0,0.0,1.6641748120000002,0
101_1-179_1,22,0,0.0,1.384833484,0
101_1-180_1,2,0,0.0,1.397309249,0
101_1-181_3,10,0,0.0,1.39204787,0
101_1-20_1,1,0,0.0,2.608618073,0
101_1-223_1,4,0,0.0,0.7779854429999999,0
101_1-229_2,2,0,0.0,0.867798515,0
101_1-229_3,48,0,0.0,0.8647188969999999,0
101_1-22_1,2,0,0.0,2.616977872,0
101_1-233_1,1,0,0.0,0.865790992,0
101_1-233_3,7,0,0.0,0.8670515340000002,0
101_1-239_1,4,0,0.0,0.845165664,0
101_1-26_2,62,0,0.0,2.621096188,0
