metric	value
trait	enzyme activity: alkaline phosphatase (EC3.1.3.1)
trait_id	enzyme_activity_alkaline_phosphatase_ec3_1_3_1
species_pair_rows_before_phylo_filter	3350
species_pair_rows_phylo_le_2	2299
binned_rows_plotted	81
trait_level_0_species_pairs_phylo_le_2	317
trait_level_1_species_pairs_phylo_le_2	887
trait_level_2_species_pairs_phylo_le_2	1095
US_main_p	1.4658047637250674e-09
NL_main_p	0.0003267840866045524
US_delta_R2	-0.0120033883809632
NL_delta_R2	0.003296840851204
US_downsampling_prop_p_lt_0_05	1.0
NL_downsampling_prop_p_lt_0_05	1.0
US_direction	promotes_monotonic_0<1<2
NL_DAG3_RISEUP_direction	promotes_monotonic_0<1<2
overall_direction	promotes_HGT
