species_pair,phylogeny,group,total,positive,negative
101_1-102_1,0.9496774879999998,IBD,21,0,21
101_1-102_1,0.9496774879999998,non-IBD,13,0,13
101_1-335_1,2.022973672,IBD,608,0,608
101_1-335_1,2.022973672,non-IBD,403,0,403
101_1-338_1,2.057139454,IBD,104,0,104
101_1-338_1,2.057139454,non-IBD,347,0,347
101_1-66_5,2.140018555,IBD,78,0,78
101_1-66_5,2.140018555,non-IBD,163,0,163
102_1-120_1,0.7895888919999994,IBD,36,0,36
102_1-120_1,0.7895888919999994,non-IBD,29,0,29
102_1-229_3,0.9209054669999994,IBD,65,0,65
102_1-229_3,0.9209054669999994,non-IBD,84,0,84
102_1-238_3,0.9013490939999992,IBD,24,0,24
102_1-238_3,0.9013490939999992,non-IBD,21,0,21
102_1-32_1,2.561545438999999,IBD,14,0,14
102_1-32_1,2.561545438999999,non-IBD,26,0,26
102_1-334_1,2.081956739,IBD,13,0,13
102_1-334_1,2.081956739,non-IBD,42,0,42
102_1-335_1,2.0791602419999995,IBD,202,0,202
102_1-335_1,2.0791602419999995,non-IBD,834,0,834
102_1-338_1,2.113326023999999,IBD,63,0,63
102_1-338_1,2.113326023999999,non-IBD,524,0,524
102_1-45_1,2.653857572,IBD,38,0,38
102_1-45_1,2.653857572,non-IBD,333,0,333
102_1-48_2,2.584702947999999,IBD,47,0,47
102_1-48_2,2.584702947999999,non-IBD,195,0,195
102_1-66_5,2.196205124999999,IBD,150,0,150
102_1-66_5,2.196205124999999,non-IBD,310,0,310
102_2-32_1,2.5619510559999994,IBD,62,0,62
102_2-32_1,2.5619510559999994,non-IBD,23,0,23
102_2-334_1,2.082362356,IBD,23,0,23
102_2-334_1,2.082362356,non-IBD,27,0,27
102_2-335_1,2.079565859,IBD,72,0,72
102_2-335_1,2.079565859,non-IBD,305,0,305
102_2-338_1,2.113731641,IBD,27,0,27
102_2-338_1,2.113731641,non-IBD,153,0,153
102_2-45_1,2.654263188999999,IBD,54,0,54
102_2-45_1,2.654263188999999,non-IBD,86,0,86
102_2-46_1,2.522886564999999,IBD,12,0,12
102_2-46_1,2.522886564999999,non-IBD,18,0,18
102_2-48_2,2.585108564999999,IBD,14,0,14
102_2-48_2,2.585108564999999,non-IBD,56,0,56
102_2-66_5,2.1966107419999994,IBD,26,0,26
102_2-66_5,2.1966107419999994,non-IBD,141,0,141
102_2-97_1,0.7306782959999998,IBD,14,0,14
102_2-97_1,0.7306782959999998,non-IBD,17,0,17
109_1-326_1,1.944506526,IBD,13,0,13
109_1-326_1,1.944506526,non-IBD,18,0,18
109_1-335_1,2.025502293,IBD,20,0,20
109_1-335_1,2.025502293,non-IBD,56,0,56
109_1-338_1,2.059668075,IBD,13,0,13
109_1-338_1,2.059668075,non-IBD,22,0,22
109_1-66_5,2.142547175999999,IBD,23,0,23
109_1-66_5,2.142547175999999,non-IBD,23,0,23
10_1-335_1,1.6868521560000005,IBD,40,0,40
10_1-335_1,1.6868521560000005,non-IBD,50,0,50
10_1-338_1,1.721017938,IBD,26,0,26
10_1-338_1,1.721017938,non-IBD,43,0,43
10_1-48_2,1.0693917819999998,IBD,16,0,16
10_1-48_2,1.0693917819999998,non-IBD,14,0,14
10_1-66_5,1.599649633,IBD,28,0,28
10_1-66_5,1.599649633,non-IBD,16,0,16
10_2-26_2,1.1620874209999994,IBD,15,0,15
10_2-26_2,1.1620874209999994,non-IBD,67,18,49
10_2-32_1,1.0463501019999994,IBD,11,1,10
10_2-32_1,1.0463501019999994,non-IBD,30,3,27
10_2-334_1,1.689764482,IBD,11,0,11
10_2-334_1,1.689764482,non-IBD,77,0,77
10_2-335_1,1.6869679849999997,IBD,121,0,121
10_2-335_1,1.6869679849999997,non-IBD,1438,0,1438
10_2-338_1,1.7211337670000002,IBD,161,0,161
10_2-338_1,1.7211337670000002,non-IBD,780,0,780
10_2-44_3,1.0591959219999998,IBD,33,17,16
10_2-44_3,1.0591959219999998,non-IBD,58,13,45
10_2-45_1,1.1386622349999995,IBD,216,34,182
10_2-45_1,1.1386622349999995,non-IBD,623,177,446
10_2-48_2,1.0695076109999997,IBD,71,39,32
10_2-48_2,1.0695076109999997,non-IBD,246,77,169
10_2-66_5,1.599765462,IBD,18,0,18
10_2-66_5,1.599765462,non-IBD,488,0,488
10_2-96_1,2.230105535,IBD,15,0,15
10_2-96_1,2.230105535,non-IBD,31,0,31
10_2-97_1,2.262253616,IBD,36,0,36
10_2-97_1,2.262253616,non-IBD,37,0,37
111_1-45_1,2.5883892269999995,IBD,70,0,70
111_1-45_1,2.5883892269999995,non-IBD,86,0,86
112_1-179_1,1.3806238750000004,IBD,18,0,18
112_1-179_1,1.3806238750000004,non-IBD,35,0,35
112_1-229_3,0.8605092879999998,IBD,47,0,47
112_1-229_3,0.8605092879999998,non-IBD,142,0,142
112_1-233_3,0.8628419250000001,IBD,12,0,12
112_1-233_3,0.8628419250000001,non-IBD,14,0,14
112_1-238_3,0.8409529149999999,IBD,12,0,12
112_1-238_3,0.8409529149999999,non-IBD,21,0,21
112_1-26_2,2.6168865789999995,IBD,29,0,29
112_1-26_2,2.6168865789999995,non-IBD,104,0,104
112_1-326_1,1.937768296,IBD,22,0,22
112_1-326_1,1.937768296,non-IBD,58,0,58
112_1-32_1,2.50114926,IBD,69,0,69
112_1-32_1,2.50114926,non-IBD,46,0,46
112_1-334_1,2.02156056,IBD,15,0,15
112_1-334_1,2.02156056,non-IBD,81,0,81
112_1-335_1,2.018764063,IBD,288,0,288
112_1-335_1,2.018764063,non-IBD,1311,0,1311
112_1-336_1,2.036752611,IBD,87,0,87
112_1-336_1,2.036752611,non-IBD,12,0,12
112_1-338_1,2.0529298450000004,IBD,456,0,456
112_1-338_1,2.0529298450000004,non-IBD,695,0,695
112_1-43_1,2.508212502,IBD,12,0,12
112_1-43_1,2.508212502,non-IBD,53,0,53
112_1-44_1,2.51328464,IBD,25,0,25
112_1-44_1,2.51328464,non-IBD,27,0,27
112_1-44_3,2.51399508,IBD,20,0,20
112_1-44_3,2.51399508,non-IBD,80,0,80
112_1-45_1,2.593461393,IBD,398,0,398
