calpro_group,bin,phylogeny_mean,hgt_rate_mean,n_rows,n_bins
<= 200,"[0.00687,0.0733]",0.042486997518518504,0.14814814814814814,27,30
<= 200,"(0.0733,0.14]",0.11104553304166657,0.08396464646464646,24,30
<= 200,"(0.14,0.206]",0.18718682287640434,0.29578969845255215,89,30
<= 200,"(0.206,0.273]",0.24159847885294103,0.2977941176470588,34,30
<= 200,"(0.273,0.339]",0.2883905165714285,0.14285714285714285,7,30
<= 200,"(0.339,0.405]",0.37601296033333337,0,6,30
<= 200,"(0.405,0.472]",0.4483475093599998,0.43377675371223756,25,30
<= 200,"(0.472,0.538]",0.4949147258599998,0.34973178131212534,100,30
<= 200,"(0.538,0.605]",0.5782473703,0.1,10,30
<= 200,"(0.605,0.671]",0.6268950696363634,0,22,30
<= 200,"(0.671,0.738]",0.7145518755999997,0,40,30
<= 200,"(0.738,0.804]",0.7756477378648646,0.02702702702702703,37,30
<= 200,"(0.804,0.87]",0.8377937219499999,0,40,30
<= 200,"(0.87,0.937]",0.8995270737826083,0.2463768115942029,23,30
<= 200,"(0.937,1]",0.967435976384615,0,13,30
<= 200,"(1,1.07]",1.0457665292173912,0.10386473429951691,46,30
<= 200,"(1.07,1.14]",1.0974501596875,0,32,30
<= 200,"(1.14,1.2]",1.1678510475454542,0.09237536656891496,22,30
<= 200,"(1.2,1.27]",1.2238852785714285,0,7,30
<= 200,"(1.27,1.34]",1.3116136308571427,0,14,30
<= 200,"(1.34,1.4]",1.3767281991666664,0,18,30
<= 200,"(1.4,1.47]",1.4393982019642857,0,28,30
<= 200,"(1.47,1.53]",1.5171718151599998,0.00125,50,30
<= 200,"(1.53,1.6]",1.566562953125,0.0016233766233766235,56,30
<= 200,"(1.6,1.67]",1.6369947216499998,0,40,30
<= 200,"(1.67,1.73]",1.7031410545624999,0,64,30
<= 200,"(1.73,1.8]",1.7660972559204544,0.007102272727272727,88,30
<= 200,"(1.8,1.87]",1.837522053831081,0.0019451269451269452,148,30
<= 200,"(1.87,1.93]",1.9046990571916167,0.005738522954091816,167,30
<= 200,"(1.93,2]",1.963896262104895,6.677350427350426e-4,143,30
> 200,"[0.00687,0.0733]",0.0465006160882352,0.4056372549019608,34,30
> 200,"(0.0733,0.14]",0.12067917499999994,0.19425287356321838,29,30
> 200,"(0.14,0.206]",0.18899796023076906,0.27320385632885635,65,30
> 200,"(0.206,0.273]",0.23670914375675664,0.32657657657657657,37,30
> 200,"(0.273,0.339]",0.2895810849999998,0,4,30
> 200,"(0.339,0.405]",0.3735918360000001,0,4,30
> 200,"(0.405,0.472]",0.45372047366666646,0.38737690901643645,18,30
> 200,"(0.472,0.538]",0.4886049349024388,0.34441900241138357,41,30
> 200,"(0.538,0.605]",0.5828019114285713,0,7,30
> 200,"(0.605,0.671]",0.6330163599999996,0,12,30
> 200,"(0.671,0.738]",0.7189795787599997,0,25,30
> 200,"(0.738,0.804]",0.7663361764285713,0.14285714285714285,7,30
> 200,"(0.804,0.87]",0.8441422495161288,0.17204301075268819,31,30
> 200,"(0.87,0.937]",0.899857836695652,0.2463768115942029,23,30
> 200,"(0.937,1]",0.9704646070967738,0.09835001853911754,31,30
> 200,"(1,1.07]",1.0489790961842103,0.12376864621446665,38,30
> 200,"(1.07,1.14]",1.0950990245499999,0,20,30
> 200,"(1.14,1.2]",1.1727856966666663,0,9,30
> 200,"(1.2,1.27]",1.2275513589999996,0,7,30
> 200,"(1.27,1.34]",1.3058712941428572,0,7,30
> 200,"(1.34,1.4]",1.3788432234999999,0,32,30
> 200,"(1.4,1.47]",1.4370421210909092,0,22,30
> 200,"(1.47,1.53]",1.5182725551578946,0,38,30
> 200,"(1.53,1.6]",1.5625443870263158,0.009502923976608187,38,30
> 200,"(1.6,1.67]",1.6271872788709676,0,31,30
> 200,"(1.67,1.73]",1.6992954631025639,0,39,30
> 200,"(1.73,1.8]",1.7698983815697673,0,86,30
> 200,"(1.8,1.87]",1.8339436590211267,0,142,30
> 200,"(1.87,1.93]",1.9083736619191176,0,136,30
> 200,"(1.93,2]",1.96470461940625,0,96,30
