species_pair,phylogeny,HGT_total_genome_pair_IBD,HGT_positive_genome_pair_IBD,HGT_rate_IBD,HGT_total_genome_pair_non_IBD,HGT_positive_genome_pair_non_IBD,HGT_rate_non_IBD,plasmid_HGT_total_genome_pair_IBD,plasmid_HGT_positive_genome_pair_IBD,plasmid_HGT_rate_IBD,plasmid_HGT_total_genome_pair_non_IBD,plasmid_HGT_positive_genome_pair_non_IBD,plasmid_HGT_rate_non_IBD,nonplasmid_HGT_total_genome_pair_IBD,nonplasmid_HGT_total_genome_pair_non_IBD,nonplasmid_HGT_positive_genome_pair_IBD,nonplasmid_HGT_positive_genome_pair_non_IBD,nonplasmid_HGT_rate_IBD,nonplasmid_HGT_rate_non_IBD
102_1-335_1,2.0791602419999995,202,0,0.0,834,0,0.0,202,0,0.0,834,0,0.0,202.0,834.0,0.0,0.0,0.0,0.0
102_1-338_1,2.113326023999999,63,0,0.0,524,0,0.0,63,0,0.0,524,0,0.0,63.0,524.0,0.0,0.0,0.0,0.0
102_1-66_5,2.196205124999999,150,0,0.0,310,0,0.0,150,0,0.0,310,0,0.0,150.0,310.0,0.0,0.0,0.0,0.0
10_2-338_1,1.7211337670000002,161,0,0.0,780,0,0.0,161,0,0.0,780,0,0.0,161.0,780.0,0.0,0.0,0.0,0.0
10_2-44_3,1.0591959219999998,33,17,0.5151515151515151,58,13,0.2241379310344827,33,0,0.0,58,0,0.0,33.0,58.0,17.0,13.0,0.5151515151515151,0.2241379310344827
10_2-45_1,1.1386622349999995,216,34,0.1574074074074074,623,177,0.2841091492776886,216,0,0.0,623,0,0.0,216.0,623.0,34.0,177.0,0.1574074074074074,0.2841091492776886
10_2-48_2,1.0695076109999997,71,39,0.5492957746478874,246,77,0.3130081300813008,71,0,0.0,246,0,0.0,71.0,246.0,39.0,77.0,0.5492957746478874,0.3130081300813008
112_1-32_1,2.50114926,69,0,0.0,46,0,0.0,69,0,0.0,46,0,0.0,69.0,46.0,0.0,0.0,0.0,0.0
112_1-335_1,2.018764063,288,0,0.0,1311,0,0.0,288,0,0.0,1311,0,0.0,288.0,1311.0,0.0,0.0,0.0,0.0
112_1-338_1,2.0529298450000004,456,0,0.0,695,0,0.0,456,0,0.0,695,0,0.0,456.0,695.0,0.0,0.0,0.0,0.0
112_1-45_1,2.593461393,398,0,0.0,346,0,0.0,398,0,0.0,346,0,0.0,398.0,346.0,0.0,0.0,0.0,0.0
112_1-46_1,2.462084769,30,0,0.0,153,0,0.0,30,0,0.0,153,0,0.0,30.0,153.0,0.0,0.0,0.0,0.0
112_1-48_2,2.524306769,92,0,0.0,401,0,0.0,92,0,0.0,401,0,0.0,92.0,401.0,0.0,0.0,0.0,0.0
112_1-66_5,2.135808946,148,0,0.0,677,0,0.0,148,0,0.0,677,0,0.0,148.0,677.0,0.0,0.0,0.0,0.0
119_1-66_5,1.980131285,115,0,0.0,508,0,0.0,115,0,0.0,508,0,0.0,115.0,508.0,0.0,0.0,0.0,0.0
120_1-335_1,1.8628850759999995,619,0,0.0,439,0,0.0,619,0,0.0,439,0,0.0,619.0,439.0,0.0,0.0,0.0,0.0
120_1-338_1,1.897050858,151,0,0.0,198,0,0.0,151,0,0.0,198,0,0.0,151.0,198.0,0.0,0.0,0.0,0.0
120_1-66_5,1.979929959,355,0,0.0,133,0,0.0,355,0,0.0,133,0,0.0,355.0,133.0,0.0,0.0,0.0,0.0
13_1-335_1,1.6055784729999998,143,0,0.0,213,0,0.0,143,0,0.0,213,0,0.0,143.0,213.0,0.0,0.0,0.0,0.0
14_1-335_1,1.758653134,189,0,0.0,442,0,0.0,189,0,0.0,442,0,0.0,189.0,442.0,0.0,0.0,0.0,0.0
14_1-338_1,1.7928189159999997,201,0,0.0,221,0,0.0,201,0,0.0,221,0,0.0,201.0,221.0,0.0,0.0,0.0,0.0
14_1-45_1,0.9528290599999996,219,3,0.0136986301369863,106,33,0.3113207547169811,219,0,0.0,106,0,0.0,219.0,106.0,3.0,33.0,0.0136986301369863,0.3113207547169811
14_1-66_5,1.6714506109999998,73,0,0.0,161,0,0.0,73,0,0.0,161,0,0.0,73.0,161.0,0.0,0.0,0.0,0.0
226_1-335_1,1.7326379049999996,230,0,0.0,1067,2,0.0018744142455482,230,0,0.0,1067,2,0.0018744142455482,230.0,1067.0,0.0,0.0,0.0,0.0
226_1-338_1,1.7668036869999997,179,0,0.0,230,0,0.0,179,0,0.0,230,0,0.0,179.0,230.0,0.0,0.0,0.0,0.0
226_1-66_5,1.8496827879999995,434,0,0.0,472,0,0.0,434,0,0.0,472,0,0.0,434.0,472.0,0.0,0.0,0.0,0.0
229_3-233_3,0.2167481969999998,144,0,0.0,153,2,0.0130718954248366,144,0,0.0,153,1,0.0065359477124183,144.0,153.0,0.0,1.0,0.0,0.0065359477124183
229_3-326_1,1.7514051439999996,82,0,0.0,121,0,0.0,82,0,0.0,121,0,0.0,82.0,121.0,0.0,0.0,0.0,0.0
229_3-335_1,1.832400911,397,0,0.0,2263,12,0.0053026955368979,397,0,0.0,2263,0,0.0,397.0,2263.0,0.0,12.0,0.0,0.0053026955368979
229_3-338_1,1.866566692999999,592,19,0.0320945945945945,1509,0,0.0,592,19,0.0320945945945945,1509,0,0.0,592.0,1509.0,0.0,0.0,0.0,0.0
229_3-42_2,2.31526034,122,0,0.0,91,0,0.0,122,0,0.0,91,0,0.0,122.0,91.0,0.0,0.0,0.0,0.0
229_3-44_1,2.326921487999999,76,0,0.0,70,0,0.0,76,0,0.0,70,0,0.0,76.0,70.0,0.0,0.0,0.0,0.0
229_3-44_3,2.327631928,71,0,0.0,128,0,0.0,71,0,0.0,128,0,0.0,71.0,128.0,0.0,0.0,0.0,0.0
229_3-45_1,2.407098240999999,986,0,0.0,360,0,0.0,986,0,0.0,360,0,0.0,986.0,360.0,0.0,0.0,0.0,0.0
229_3-48_2,2.337943616999999,131,0,0.0,542,1,0.0018450184501845,131,0,0.0,542,1,0.0018450184501845,131.0,542.0,0.0,0.0,0.0,0.0
229_3-66_5,1.949445794,271,0,0.0,832,0,0.0,271,0,0.0,832,0,0.0,271.0,832.0,0.0,0.0,0.0,0.0
229_3-96_1,0.7980964069999996,59,0,0.0,121,0,0.0,59,0,0.0,121,0,0.0,59.0,121.0,0.0,0.0,0.0,0.0
233_3-338_1,1.86889933,246,48,0.1951219512195122,120,0,0.0,246,48,0.1951219512195122,120,0,0.0,246.0,120.0,0.0,0.0,0.0,0.0
233_3-45_1,2.409430878,339,0,0.0,23,0,0.0,339,0,0.0,23,0,0.0,339.0,23.0,0.0,0.0,0.0,0.0
233_3-48_2,2.3402762539999995,68,1,0.0147058823529411,50,0,0.0,68,1,0.0147058823529411,50,0,0.0,68.0,50.0,0.0,0.0,0.0,0.0
233_3-66_5,1.951778431,93,0,0.0,67,0,0.0,93,0,0.0,67,0,0.0,93.0,67.0,0.0,0.0,0.0,0.0
26_2-335_1,2.011336148,698,0,0.0,2113,0,0.0,698,0,0.0,2113,0,0.0,698.0,2113.0,0.0,0.0,0.0,0.0
26_2-338_1,2.0455019299999995,807,0,0.0,1505,0,0.0,807,0,0.0,1505,0,0.0,807.0,1505.0,0.0,0.0,0.0,0.0
26_2-44_1,0.5024551509999999,125,22,0.176,37,13,0.3513513513513513,125,0,0.0,37,5,0.1351351351351351,125.0,37.0,22.0,9.0,0.176,0.2432432432432432
26_2-44_3,0.5031655909999997,26,5,0.1923076923076923,127,36,0.2834645669291338,26,0,0.0,127,2,0.0157480314960629,26.0,127.0,5.0,35.0,0.1923076923076923,0.2755905511811024
26_2-45_1,0.1778537720000002,1008,339,0.3363095238095238,743,426,0.5733512786002691,1008,29,0.0287698412698412,743,37,0.0497981157469717,1008.0,743.0,311.0,407.0,0.308531746031746,0.5477792732166891
26_2-46_1,0.4512552799999998,71,4,0.056338028169014,238,102,0.4285714285714285,71,0,0.0,238,9,0.0378151260504201,71.0,238.0,4.0,99.0,0.056338028169014,0.4159663865546218
26_2-48_2,0.5134772799999996,175,68,0.3885714285714285,479,203,0.4237995824634655,175,0,0.0,479,1,0.0020876826722338,175.0,479.0,68.0,202.0,0.3885714285714285,0.4217118997912317
26_2-66_5,1.924133625,59,0,0.0,1139,0,0.0,59,0,0.0,1139,0,0.0,59.0,1139.0,0.0,0.0,0.0,0.0
26_2-96_1,2.554473698,41,0,0.0,72,0,0.0,41,0,0.0,72,0,0.0,41.0,72.0,0.0,0.0,0.0,0.0
26_2-97_1,2.5866217789999992,66,0,0.0,56,0,0.0,66,0,0.0,56,0,0.0,66.0,56.0,0.0,0.0,0.0,0.0
318_56-335_1,1.028981413,842,0,0.0,3387,1,0.0002952465308532,842,0,0.0,3387,0,0.0,842.0,3387.0,0.0,1.0,0.0,0.0002952465308532
318_56-338_1,1.063147195,292,0,0.0,2911,1,0.0003435245620061,292,0,0.0,2911,0,0.0,292.0,2911.0,0.0,1.0,0.0,0.0003435245620061
