letter,category_name,main_beta,main_or,main_lrt_p,down_prop_sig,leave_top5_lrt_p,n_beta_pos,n_beta_neg,prop_beta_pos,prop_beta_neg,n_sig,n_sig_pos,n_sig_neg,prop_sig_pos,prop_sig_neg,median_beta,median_or
C,Energy production and conversion,2.4323260404324385,11.385334051237695,0.0,1.0,0.0,100,0,1.0,0.0,100,100,0,1.0,0.0,1.3489895371472849,3.8535297141242557
B,Chromatin structure and dynamics,2.629293406426805,13.863970248075091,1.72024365e-316,1.0,3.3254139252912056e-265,100,0,1.0,0.0,100,100,0,1.0,0.0,1.1692051913603336,3.219433689692968
V,Defense mechanisms,0.8798812789256548,2.4106134988037,8.546206701841268e-189,0.97,1.7124848961443147e-215,100,0,1.0,0.0,97,97,0,0.97,0.0,0.3434491046963388,1.4098022259226828
J,"Translation, ribosomal structure and biogenesis",1.0667485484561798,2.9059156787166738,2.5770690604855654e-147,0.99,2.2669591056111915e-154,100,0,1.0,0.0,99,99,0,0.99,0.0,0.5899633050128521,1.80393496778745
H,Coenzyme transport and metabolism,0.9147395383653708,2.496125022425068,6.862216594533594e-113,1.0,4.926606020744772e-187,100,0,1.0,0.0,100,100,0,1.0,0.0,1.0470758445925217,2.849307110746535
O,"Posttranslational modification, protein turnover, chaperones",0.7653044233783645,2.14964867837046,1.4979867086243604e-57,0.96,3.112046312429686e-89,100,0,1.0,0.0,96,96,0,0.96,0.0,0.5977108178934278,1.8179679061807832
T,Signal transduction mechanisms,0.5295562584682661,1.6981785890343213,1.5294159267757669e-49,0.96,2.856095326027797e-112,100,0,1.0,0.0,96,96,0,0.96,0.0,0.35837249563657214,1.430998590922124
R,General function prediction only,0.4685444802815293,1.5976670641216797,9.562519561916519e-42,1.0,1.1782153857183987e-105,100,0,1.0,0.0,100,100,0,1.0,0.0,0.48431231420316423,1.6230586563350342
D,"Cell cycle control, cell division, chromosome partitioning",0.3786100949992013,1.4602535645635584,7.311073007397339e-31,0.91,2.4019129864045383e-81,100,0,1.0,0.0,91,91,0,0.91,0.0,0.3182375784874478,1.3747028573806959
K,Transcription,0.3929641178293369,1.481365233775469,1.3936630498644934e-30,1.0,1.2502615393497218e-64,100,0,1.0,0.0,100,100,0,1.0,0.0,0.3986982361807193,1.4898839813021554
N,Cell motility,0.4259396884755417,1.531028433689824,1.2776364444797325e-29,0.98,4.913727318337265e-55,100,0,1.0,0.0,98,98,0,0.98,0.0,0.4109577731974121,1.5082616775466682
L,"Replication, recombination and repair",0.3093714718307449,1.362568432293812,8.425307400041158e-29,1.0,2.320088451520331e-99,100,0,1.0,0.0,100,100,0,1.0,0.0,0.3165594889214399,1.3723979143132794
U,"Intracellular trafficking, secretion, and vesicular transport",0.3449669207891125,1.4119432129278509,4.529307122422089e-25,1.0,2.1309725893552088e-79,100,0,1.0,0.0,100,100,0,1.0,0.0,0.3709879602927951,1.4491656281002538
P,Inorganic ion transport and metabolism,0.6103994254731524,1.8411666607953137,1.082156897488848e-19,0.04,1.8323154652734892e-43,70,30,0.7,0.3,4,4,0,0.04,0.0,0.0962329684270925,1.1010288774156005
W,Extracellular structures,1.0685761804827834,2.91123147946188,5.523793523173332e-09,0.0,2.5076689564510893e-10,96,4,0.96,0.04,0,0,0,0.0,0.0,0.7197025593376893,2.053822229538857
A,RNA processing and modification,-21.376084154313528,5.20576557417626e-10,2.4172788509117004e-06,0.0,1.2933596097583766e-05,0,100,0.0,1.0,0,0,0,0.0,0.0,-20.03021712299424,1.9998030764798114e-09
G,Carbohydrate transport and metabolism,-0.2012823923429826,0.8176814919552802,0.0007496899339811,0.0,1.5953339028836808e-17,42,58,0.42,0.58,0,0,0,0.0,0.0,-0.01729348079362915,0.9828552046966297
Q,"Secondary metabolites biosynthesis, transport and catabolism",0.3090610114959138,1.3621454745012982,0.0085747990490254,0.84,5.3335571169107226e-05,100,0,1.0,0.0,84,84,0,0.84,0.0,1.3447591242677948,3.837304682495378
M,Cell wall/membrane/envelope biogenesis,-0.0929713012183798,0.9112196508146616,0.0117577247972921,0.92,2.00001362061454e-12,100,0,1.0,0.0,92,92,0,0.92,0.0,0.3749558394749072,1.4549271866430593
E,Amino acid transport and metabolism,-0.1465702102894281,0.8636650920299201,0.0380479631720158,0.03,8.638616298043587e-07,96,4,0.96,0.04,3,3,0,0.03,0.0,0.2412854581173606,1.2728845523497045
X,"Mobilome: prophages, transposons",0.0586632346414478,1.060418068530857,0.0614395307974703,0.79,5.859843555992938e-29,100,0,1.0,0.0,79,79,0,0.79,0.0,0.2644742998104691,1.3027465427918135
I,Lipid transport and metabolism,0.1789323108979267,1.1959397893375605,0.0771667211037903,0.09,0.0045483989184211,97,3,0.97,0.03,9,9,0,0.09,0.0,0.4585721881381225,1.5818138903298014
S,Function unknown,-0.0573827385915644,0.9442326059402276,0.1487716307084489,0.0,1.02253421231048e-07,45,55,0.45,0.55,0,0,0,0.0,0.0,-0.005756430179125249,0.994260120212122
F,Nucleotide transport and metabolism,0.0964164023184627,1.101217518064339,0.1992607961414546,0.29,7.335057755527657e-08,100,0,1.0,0.0,29,29,0,0.29,0.0,0.4735582490286028,1.6057013404456715
