species	skani9999_kept_samples	gene	af	lrt_pvalue	fdr	beta	direction	in_hgt_region	hgt_gene_instances	hgt_rows	max_overlap_bp
Bacteroides_fragilis__32_1	126	group_13115	1.19E-01	9.69E-08	0.000186326	5.32E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_13116	1.19E-01	9.69E-08	0.000186326	5.32E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	Putative N-acetylmannosaminyltransferase	8.25E-01	1.31E-07	0.000186326	-6.41E+00	Health	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_904	2.30E-01	4.18E-07	0.000445902	4.34E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_14113	1.43E-01	3.05E-06	0.00168013	5.43E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	Coiled-coil domain-containing protein 167	1.19E-01	3.15E-06	0.00168013	4.26E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	Nif11 domain-containing protein	1.19E-01	3.15E-06	0.00168013	4.26E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_9802	1.19E-01	3.15E-06	0.00168013	4.26E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_9800	1.27E-01	3.81E-06	0.00180636	4.19E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_1145	7.14E-02	1.10E-05	0.00355583	6.75E+00	IBD	TRUE	31	98	1134
Bacteroides_fragilis__32_1	126	group_15991	9.52E-02	1.10E-05	0.00355583	6.74E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_15997	9.52E-02	1.10E-05	0.00355583	6.74E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_10982	1.11E-01	1.14E-05	0.00355583	5.23E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_1017	1.59E-01	1.19E-05	0.00355583	3.55E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_6615	7.94E-02	1.25E-05	0.00355583	5.48E+00	IBD	TRUE	34	156	354
Bacteroides_fragilis__32_1	126	group_887	1.19E-01	1.65E-05	0.00440034	3.66E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_4366	1.35E-01	1.96E-05	0.00490705	3.58E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	DUF5680 domain-containing protein	1.27E-01	2.25E-05	0.00490705	5.10E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_6384	1.51E-01	2.30E-05	0.00490705	3.54E+00	IBD	TRUE	10	10	414
Bacteroides_fragilis__32_1	126	group_4365	1.51E-01	2.30E-05	0.00490705	3.54E+00	IBD	TRUE	10	10	405
Bacteroides_fragilis__32_1	126	Bacteriophage CI repressor	1.27E-01	2.69E-05	0.00510855	4.93E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_2671	7.14E-02	2.78E-05	0.00510855	4.72E+00	IBD	TRUE	6	204	423
Bacteroides_fragilis__32_1	126	Ropporin-1-like protein	1.35E-01	3.02E-05	0.00510855	4.97E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_2203	4.29E-01	3.38E-05	0.00510855	-2.65E+00	Health	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_3800	1.11E-01	3.92E-05	0.00510855	5.89E+00	IBD	TRUE	9	90	2748
Bacteroides_fragilis__32_1	126	group_22212	9.52E-02	3.92E-05	0.00510855	5.89E+00	IBD	TRUE	11	73	366
Bacteroides_fragilis__32_1	126	group_3704	1.19E-01	3.94E-05	0.00510855	3.42E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_10507	1.11E-01	3.95E-05	0.00510855	6.62E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_10508	1.11E-01	3.95E-05	0.00510855	6.62E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_10509	1.11E-01	3.95E-05	0.00510855	6.62E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	N6-Mtase domain-containing protein	1.11E-01	3.95E-05	0.00510855	6.62E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_15111	1.11E-01	3.95E-05	0.00510855	6.62E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_6592	2.70E-01	4.06E-05	0.00510855	3.23E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_10998	1.59E-01	4.31E-05	0.00510855	5.20E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_16826	1.59E-01	4.31E-05	0.00510855	5.20E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_10999	1.59E-01	4.31E-05	0.00510855	5.20E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_2205	1.83E-01	4.93E-05	0.00568549	3.24E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_5430	2.54E-01	5.74E-05	0.00644542	3.56E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_1068	1.27E-01	6.15E-05	0.00672873	4.39E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	DHHA1 domain-containing protein	7.14E-02	7.11E-05	0.00758459	5.62E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_3568	3.10E-01	8.92E-05	0.00891108	2.39E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_15681	8.73E-02	8.98E-05	0.00891108	5.28E+00	IBD	TRUE	14	30	306
Bacteroides_fragilis__32_1	126	group_15682	8.73E-02	8.98E-05	0.00891108	5.28E+00	IBD	TRUE	14	30	3735
Bacteroides_fragilis__32_1	126	group_2915	2.22E-01	1.08E-04	0.0104735	3.06E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	Bacterial sugar transferase family protein	2.94E-01	1.14E-04	0.0105313	-7.58E+00	Health	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_6867	1.51E-01	1.14E-04	0.0105313	3.67E+00	IBD	TRUE	3	3	378
Bacteroides_fragilis__32_1	126	group_6231	8.73E-02	1.16E-04	0.0105313	4.57E+00	IBD	TRUE	38	169	486
Bacteroides_fragilis__32_1	126	group_10714	9.52E-02	1.24E-04	0.0107981	4.96E+00	IBD	TRUE	19	108	486
Bacteroides_fragilis__32_1	126	group_15711	9.52E-02	1.24E-04	0.0107981	4.96E+00	IBD	TRUE	19	108	1305
Bacteroides_fragilis__32_1	126	group_4192	9.52E-02	1.39E-04	0.0117616	4.37E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	Excisionase family DNA binding domain-containing protein	8.73E-02	1.45E-04	0.0117616	4.45E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_1953	5.63E-01	1.46E-04	0.0117616	-2.79E+00	Health	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_13632	2.78E-01	1.65E-04	0.0117616	-4.27E+00	Health	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_20126	1.27E-01	1.79E-04	0.0117616	3.00E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_3815	1.03E-01	1.87E-04	0.0117616	4.30E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_2380	8.10E-01	1.88E-04	0.0117616	-4.00E+00	Health	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	Fibronectin type III domain protein	2.86E-01	1.95E-04	0.0117616	-4.28E+00	Health	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	Nuclear transport factor 2 family protein	2.86E-01	1.95E-04	0.0117616	-4.28E+00	Health	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_13633	2.86E-01	1.95E-04	0.0117616	-4.28E+00	Health	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_10008	2.78E-01	1.96E-04	0.0117616	-4.28E+00	Health	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_13634	2.78E-01	1.96E-04	0.0117616	-4.28E+00	Health	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_10310	1.67E-01	2.02E-04	0.0117616	4.11E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	fbpA	1.67E-01	2.02E-04	0.0117616	4.11E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	DUF5053 domain-containing protein	1.67E-01	2.02E-04	0.0117616	4.11E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_16072	8.73E-02	2.12E-04	0.0117616	4.74E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_10309	1.75E-01	2.14E-04	0.0117616	4.10E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	phage terminase small subunit P27 family	1.75E-01	2.14E-04	0.0117616	4.10E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	head-tail connector protein	1.75E-01	2.14E-04	0.0117616	4.10E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	Phage major tail 2 family protein	1.75E-01	2.14E-04	0.0117616	4.10E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	phage portal protein	1.75E-01	2.14E-04	0.0117616	4.10E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	RHH-4 domain-containing protein	1.75E-01	2.14E-04	0.0117616	4.10E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	Terminase large subunit	1.75E-01	2.14E-04	0.0117616	4.10E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	Head-tail adaptor protein	1.75E-01	2.14E-04	0.0117616	4.10E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	DUF1819 domain-containing protein	1.75E-01	2.14E-04	0.0117616	4.10E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	phage major capsid protein	1.75E-01	2.14E-04	0.0117616	4.10E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_8107	1.75E-01	2.14E-04	0.0117616	4.10E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	Phage minor structural protein	1.75E-01	2.14E-04	0.0117616	4.10E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	DUF1003 domain-containing protein	2.30E-01	2.15E-04	0.0117616	2.82E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_184	1.98E-01	2.37E-04	0.012801	2.61E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_1749	1.03E-01	2.42E-04	0.0129077	3.58E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_653	4.05E-01	2.75E-04	0.0140414	2.09E+00	IBD	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_142	8.73E-02	2.77E-04	0.0140414	4.18E+00	IBD	TRUE	10	213	2019
Bacteroides_fragilis__32_1	126	group_9470	8.33E-01	2.81E-04	0.0140414	-4.49E+00	Health	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	DNA-binding protein HU	8.33E-01	2.81E-04	0.0140414	-4.49E+00	Health	FALSE	0	0	0
Bacteroides_fragilis__32_1	126	group_2758	8.33E-01	2.81E-04	0.0140414	-4.49E+00	Health	FALSE	0	0	0
