species	species_label	direction	class	count	total_count	hgt_count	log10_count_plus1	bar_type	hgt_percent	percent_label
Bacteroides_fragilis__32_1	Bacteroides fragilis (32_1) *	Health	All significant	55	55	1	1.7481880270062	Sig Health	1.81818181818182	1/55 (1.8%)
Bacteroides_uniformis__48_2	Bacteroides uniformis (48_2) *	Health	All significant	166	166	3	2.22271647114758	Sig Health	1.80722891566265	3/166 (1.8%)
Bifidobacterium_adolescentis__335_1	Bifidobacterium adolescentis (335_1) *	Health	All significant	427	427	13	2.63144376901317	Sig Health	3.04449648711944	13/427 (3.0%)
Bifidobacterium_longum__338_1	Bifidobacterium longum (338_1)	Health	All significant	439	439	9	2.64345267648619	Sig Health	2.0501138952164	9/439 (2.1%)
Bifidobacterium_pseudocatenulatum__334_1	Bifidobacterium pseudocatenulatum (334_1)	Health	All significant	25	25	0	1.41497334797082	Sig Health	0	0/25 (0.0%)
Eggerthella_lenta__326_1	Eggerthella lenta (326_1)	Health	All significant	57	57	0	1.76342799356294	Sig Health	0	0/57 (0.0%)
Escherichia_coli__66_5	Escherichia coli (66_5)	Health	All significant	575	575	2	2.76042248342321	Sig Health	0.347826086956522	2/575 (0.3%)
Parabacteroides_distasonis__45_1	Parabacteroides distasonis (45_1)	Health	All significant	1030	1030	190	3.01325866528352	Sig Health	18.4466019417476	190/1030 (18.4%)
Bacteroides_fragilis__32_1	Bacteroides fragilis (32_1) *	IBD	All significant	205	205	80	2.31386722036915	Sig IBD	39.0243902439024	80/205 (39.0%)
Bacteroides_uniformis__48_2	Bacteroides uniformis (48_2) *	IBD	All significant	499	499	224	2.69897000433602	Sig IBD	44.8897795591182	224/499 (44.9%)
Bifidobacterium_adolescentis__335_1	Bifidobacterium adolescentis (335_1) *	IBD	All significant	616	616	42	2.79028516403324	Sig IBD	6.81818181818182	42/616 (6.8%)
Bifidobacterium_longum__338_1	Bifidobacterium longum (338_1)	IBD	All significant	562	562	20	2.75050839485135	Sig IBD	3.55871886120996	20/562 (3.6%)
Bifidobacterium_pseudocatenulatum__334_1	Bifidobacterium pseudocatenulatum (334_1)	IBD	All significant	22	22	1	1.36172783601759	Sig IBD	4.54545454545455	1/22 (4.5%)
Eggerthella_lenta__326_1	Eggerthella lenta (326_1)	IBD	All significant	97	97	0	1.99122607569249	Sig IBD	0	0/97 (0.0%)
Escherichia_coli__66_5	Escherichia coli (66_5)	IBD	All significant	1086	1086	6	3.03622954408629	Sig IBD	0.552486187845304	6/1086 (0.6%)
Parabacteroides_distasonis__45_1	Parabacteroides distasonis (45_1)	IBD	All significant	1650	1650	307	3.21774707326279	Sig IBD	18.6060606060606	307/1650 (18.6%)
Bacteroides_fragilis__32_1	Bacteroides fragilis (32_1) *	Health	HGT subset	1	55	1	0.301029995663981	HGT Health	1.81818181818182	1/55 (1.8%)
Bacteroides_uniformis__48_2	Bacteroides uniformis (48_2) *	Health	HGT subset	3	166	3	0.602059991327962	HGT Health	1.80722891566265	3/166 (1.8%)
Bifidobacterium_adolescentis__335_1	Bifidobacterium adolescentis (335_1) *	Health	HGT subset	13	427	13	1.14612803567824	HGT Health	3.04449648711944	13/427 (3.0%)
Bifidobacterium_longum__338_1	Bifidobacterium longum (338_1)	Health	HGT subset	9	439	9	1	HGT Health	2.0501138952164	9/439 (2.1%)
Bifidobacterium_pseudocatenulatum__334_1	Bifidobacterium pseudocatenulatum (334_1)	Health	HGT subset	0	25	0	0	HGT Health	0	0/25 (0.0%)
Eggerthella_lenta__326_1	Eggerthella lenta (326_1)	Health	HGT subset	0	57	0	0	HGT Health	0	0/57 (0.0%)
Escherichia_coli__66_5	Escherichia coli (66_5)	Health	HGT subset	2	575	2	0.477121254719662	HGT Health	0.347826086956522	2/575 (0.3%)
Parabacteroides_distasonis__45_1	Parabacteroides distasonis (45_1)	Health	HGT subset	190	1030	190	2.28103336724773	HGT Health	18.4466019417476	190/1030 (18.4%)
Bacteroides_fragilis__32_1	Bacteroides fragilis (32_1) *	IBD	HGT subset	80	205	80	1.90848501887865	HGT IBD	39.0243902439024	80/205 (39.0%)
Bacteroides_uniformis__48_2	Bacteroides uniformis (48_2) *	IBD	HGT subset	224	499	224	2.35218251811136	HGT IBD	44.8897795591182	224/499 (44.9%)
Bifidobacterium_adolescentis__335_1	Bifidobacterium adolescentis (335_1) *	IBD	HGT subset	42	616	42	1.63346845557959	HGT IBD	6.81818181818182	42/616 (6.8%)
Bifidobacterium_longum__338_1	Bifidobacterium longum (338_1)	IBD	HGT subset	20	562	20	1.32221929473392	HGT IBD	3.55871886120996	20/562 (3.6%)
Bifidobacterium_pseudocatenulatum__334_1	Bifidobacterium pseudocatenulatum (334_1)	IBD	HGT subset	1	22	1	0.301029995663981	HGT IBD	4.54545454545455	1/22 (4.5%)
Eggerthella_lenta__326_1	Eggerthella lenta (326_1)	IBD	HGT subset	0	97	0	0	HGT IBD	0	0/97 (0.0%)
Escherichia_coli__66_5	Escherichia coli (66_5)	IBD	HGT subset	6	1086	6	0.845098040014257	HGT IBD	0.552486187845304	6/1086 (0.6%)
Parabacteroides_distasonis__45_1	Parabacteroides distasonis (45_1)	IBD	HGT subset	307	1650	307	2.48855071650044	HGT IBD	18.6060606060606	307/1650 (18.6%)
