species	skani9999_kept_samples	n_fdr05_genes	n_health_sig	n_ibd_sig	n_fdr05_in_hgt	n_health_sig_in_hgt	n_ibd_sig_in_hgt
Bacteroides_fragilis__32_1	126	260	55	205	81	1	80
Bacteroides_ovatus__44_3	185	2	1	1	0	0	0
Bacteroides_thetaiotaomicron__42_2	157	0	0	0	0	0	0
Bacteroides_uniformis__48_2	466	665	166	499	227	3	224
Bifidobacterium_adolescentis__335_1	2043	1043	427	616	55	13	42
Bifidobacterium_longum__338_1	1510	1001	439	562	29	9	20
Bifidobacterium_pseudocatenulatum__334_1	121	47	25	22	1	0	1
Eggerthella_lenta__326_1	140	154	57	97	0	0	0
Escherichia_coli__66_5	833	1661	575	1086	8	2	6
Parabacteroides_distasonis__45_1	613	2680	1030	1650	497	190	307
Parabacteroides_merdae__26_2	214	0	0	0	0	0	0
Phocaeicola_vulgatus__46_1	170	8	3	5	0	0	0
Streptococcus_salivarius__229_3	183	0	0	0	0	0	0
