variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	PC1	PC2	PC3	PC4	PC5	PC6	age	bmi	sex_0	notes
ubiE	9.89E-01	5.67E-02	5.32E-01	-6.14E-01	6.96E+00	7.62E-01	-8.47E-01	-2.36E-01	2.33E-01	4.24E-01	-1.20E+00	1.82E-01	-2.17E-02	-4.31E-02	-1.64E-01	bad-chisq
"DUF1015 domain-containing protein"	9.89E-01	5.94E-01	1.88E-01	-2.23E+00	6.97E+00	2.43E+00	-9.23E-01	-3.25E-01	2.34E-01	5.05E-01	-1.40E+00	3.14E-01	-2.29E-02	-4.42E-02	-1.91E-01	bad-chisq
rpsP	9.89E-01	1.05E-03	1.17E-02	-2.64E+00	6.90E+00	2.60E+00	-8.88E-01	-1.29E-01	3.09E-01	5.06E-01	-1.14E+00	2.95E-01	-2.19E-02	-3.71E-02	-1.82E-01	bad-chisq
"Aldose 1-epimerase family protein"	9.87E-01	1.12E-01	9.31E-02	-1.76E+00	6.93E+00	1.99E+00	-8.83E-01	-2.08E-01	2.42E-01	4.33E-01	-1.28E+00	1.06E-01	-2.42E-02	-4.27E-02	-1.93E-01	bad-chisq
"Corrinoid adenosyltransferase"	9.89E-01	5.94E-01	5.78E-01	-1.31E+00	6.99E+00	1.49E+00	-8.74E-01	-2.15E-01	2.45E-01	4.39E-01	-1.23E+00	1.35E-01	-2.13E-02	-4.51E-02	-1.85E-01	bad-chisq
rhlE	9.89E-01	5.94E-01	7.20E-01	-9.57E-01	6.99E+00	1.12E+00	-8.83E-01	-2.17E-01	2.60E-01	4.49E-01	-1.24E+00	1.66E-01	-2.15E-02	-4.45E-02	-1.81E-01	bad-chisq
purF	9.89E-01	4.01E-01	1.00E+00	6.02E-01	7.04E+00	-3.78E-01	-8.63E-01	-2.57E-01	2.65E-01	4.71E-01	-1.29E+00	1.90E-01	-2.18E-02	-4.54E-02	-1.73E-01	bad-chisq
lysO	9.89E-01	5.67E-02	1.49E-01	-1.62E+00	6.95E+00	1.77E+00	-8.53E-01	-1.97E-01	1.97E-01	4.21E-01	-1.26E+00	2.50E-01	-2.32E-02	-4.06E-02	-1.90E-01	bad-chisq
group_21452	9.87E-01	7.39E-01	8.93E-01	-8.86E-01	6.99E+00	1.02E+00	-8.73E-01	-2.44E-01	2.52E-01	4.19E-01	-1.26E+00	2.14E-01	-2.19E-02	-4.21E-02	-1.80E-01	bad-chisq
"TIGR02757 family protein"	9.89E-01	5.67E-02	3.80E-02	-2.41E+00	6.93E+00	2.43E+00	-9.25E-01	-1.90E-01	2.63E-01	4.53E-01	-1.40E+00	-1.06E-01	-2.15E-02	-4.14E-02	-1.25E-01	bad-chisq
tuf	9.89E-01	5.67E-02	3.34E-02	-2.62E+00	6.93E+00	2.90E+00	-8.78E-01	-2.43E-01	2.43E-01	3.94E-01	-1.35E+00	3.09E-01	-2.50E-02	-4.23E-02	-2.35E-01	bad-chisq
"Acid-resistance membrane protein"	9.89E-01	4.01E-01	6.25E-01	1.01E+00	7.03E+00	-7.99E-01	-8.79E-01	-2.63E-01	2.84E-01	4.45E-01	-1.31E+00	1.61E-01	-2.20E-02	-4.40E-02	-1.84E-01	bad-chisq
"K(+)-transporting ATPase subunit F"	9.89E-01	4.01E-01	1.00E+00	1.84E-01	7.04E+00	2.07E-02	-8.52E-01	-2.77E-01	2.26E-01	3.98E-01	-1.24E+00	1.04E-01	-2.24E-02	-4.31E-02	-1.82E-01	bad-chisq
cobJ	9.89E-01	4.01E-01	1.00E+00	5.52E-01	7.04E+00	-3.47E-01	-8.69E-01	-2.46E-01	2.51E-01	4.29E-01	-1.29E+00	1.65E-01	-2.21E-02	-4.43E-02	-1.64E-01	bad-chisq
