variant	af	lrt-pvalue	beta	notes	fdr	log10p
group_11122	8.88E-01	8.92E-11	-2.99E+00		5.77148e-07	10.049635
group_2718	7.30E-02	1.08E-10	3.07E+00		5.77148e-07	9.966576
Spermidine/putrescine ABC transporter	9.10E-01	1.56E-10	-2.65E+00		5.77148e-07	9.806875
group_13941	8.93E-01	2.18E-10	-2.54E+00		6.04896e-07	9.661544
group_7407	1.14E-01	5.02E-10	2.46E+00		1.11434e-06	9.299296
group_1757	7.73E-02	6.44E-10	2.73E+00		1.19129e-06	9.191114
group_2748	6.87E-02	1.15E-09	2.73E+00		1.66485e-06	8.939302
Cycloisomaltooligosaccharide glucanotransferase	8.78E-01	1.20E-09	-2.38E+00		1.66485e-06	8.920819
mtgA	9.29E-01	2.71E-09	-2.67E+00		3.20761e-06	8.567031
group_8485	9.18E-01	2.89E-09	-2.55E+00		3.20761e-06	8.539102
group_3905	7.30E-02	3.95E-09	2.58E+00		3.82915e-06	8.403403
group_11123	1.07E-01	4.14E-09	2.78E+00		3.82915e-06	8.383000
feoB	9.23E-01	6.65E-09	-2.53E+00		4.34711e-06	8.177178
group_8486	6.65E-02	6.89E-09	2.68E+00		4.34711e-06	8.161781
Glycosyltransferase family 4 protein	8.05E-01	6.93E-09	-2.23E+00		4.34711e-06	8.159267
group_22336	4.08E-02	8.73E-09	3.67E+00		4.34711e-06	8.058986
group_14419	4.08E-02	8.73E-09	3.67E+00		4.34711e-06	8.058986
group_29626	4.08E-02	8.73E-09	3.67E+00		4.34711e-06	8.058986
group_29627	4.08E-02	8.73E-09	3.67E+00		4.34711e-06	8.058986
group_22334	4.08E-02	8.73E-09	3.67E+00		4.34711e-06	8.058986
ImmA/IrrE family metallo-endopeptidase	4.08E-02	8.73E-09	3.67E+00		4.34711e-06	8.058986
group_29625	4.08E-02	8.73E-09	3.67E+00		4.34711e-06	8.058986
group_4908	6.87E-02	9.19E-09	2.59E+00		4.34711e-06	8.036684
group_18404	2.15E-01	9.40E-09	-3.51E+00		4.34711e-06	8.026872
group_1879	8.71E-01	1.07E-08	-2.19E+00		4.75037e-06	7.970616
DUF4923 domain-containing protein	9.51E-01	1.13E-08	-3.24E+00		4.8238e-06	7.946922
erm(F)	9.44E-02	1.26E-08	2.39E+00		5.17953e-06	7.899629
tet(X2)	8.15E-02	1.77E-08	2.58E+00		7.01615e-06	7.752027
Type VI secretion system, VipA, VC_A0107 or Hcp2	6.65E-02	2.31E-08	2.72E+00		8.84093e-06	7.636388
Putative exported aminopeptidase	7.51E-01	3.32E-08	-1.76E+00		1.22829e-05	7.478862
group_7714	7.30E-02	4.92E-08	2.41E+00		1.76152e-05	7.308035
group_12083	9.18E-01	5.63E-08	-2.27E+00		1.95273e-05	7.249492
group_23105	4.29E-02	6.90E-08	3.34E+00		2.25244e-05	7.161151
L51-S25-CI-B8 domain-containing protein	4.29E-02	6.90E-08	3.34E+00		2.25244e-05	7.161151
MORN repeat protein	9.44E-02	7.99E-08	2.07E+00		2.53374e-05	7.097453
group_29787	5.79E-02	9.90E-08	2.81E+00		2.77475e-05	7.004365
group_29788	5.79E-02	9.90E-08	2.81E+00		2.77475e-05	7.004365
group_29789	5.79E-02	9.90E-08	2.81E+00		2.77475e-05	7.004365
group_29790	5.79E-02	9.90E-08	2.81E+00		2.77475e-05	7.004365
group_1882	1.07E-01	1.00E-07	2.17E+00		2.77475e-05	7.000000
DUF4240 domain-containing protein	4.29E-02	1.28E-07	3.16E+00		3.46505e-05	6.892790
group_23146	4.72E-02	1.62E-07	3.01E+00		4.18148e-05	6.790485
StlD/DarB family beta-ketosynthase	4.72E-02	1.62E-07	3.01E+00		4.18148e-05	6.790485
group_16623	4.29E-02	1.82E-07	3.03E+00		4.59095e-05	6.739929
group_623	4.51E-02	2.31E-07	2.89E+00		5.69749e-05	6.636388
site-specific integrase	5.15E-02	3.48E-07	2.68E+00		8.39663e-05	6.458421
group_31244	5.15E-02	3.79E-07	2.83E+00		8.54623e-05	6.421361
group_31245	5.15E-02	3.79E-07	2.83E+00		8.54623e-05	6.421361
group_31246	5.15E-02	3.79E-07	2.83E+00		8.54623e-05	6.421361
Glucosamine-6-phosphate deaminase-like protein	1.91E-01	3.85E-07	-2.61E+00		8.54623e-05	6.414539
