side,cluster,species_id,individual,gene_genome_count,total_genome_count,individual_gene_prev,summary_total_genome_count,missing_genome_count_in_pan
1,50S ribosomal protein L7/L12,26_2,37,4,5,0.8,5,0
1,AAA family ATPase,26_2,37,4,5,0.8,5,0
1,AAA-8 domain-containing protein,26_2,37,5,5,1.0,5,0
1,ATPase involved in chromosome partitioning,26_2,37,5,5,1.0,5,0
2,ATPase involved in chromosome partitioning,26_2,37,5,5,1.0,5,0
1,"Adenine-specific DNA methylase, N12 class",26_2,37,5,5,1.0,5,0
1,Amino acid ABC transporter permease,26_2,37,5,5,1.0,5,0
2,Amino acid ABC transporter permease,26_2,37,5,5,1.0,5,0
1,Antitoxin epsilon,26_2,37,5,5,1.0,5,0
1,Aspartate racemase,26_2,37,5,5,1.0,5,0
1,Calcium/sodium:proton antiporter,26_2,37,5,5,1.0,5,0
2,Calcium/sodium:proton antiporter,26_2,37,5,5,1.0,5,0
1,DNA-pol-B-exo2 domain-containing protein,26_2,37,5,5,1.0,5,0
2,DNA-pol-B-exo2 domain-containing protein,26_2,37,5,5,1.0,5,0
1,DNA-pol3-finger domain-containing protein,26_2,37,4,5,0.8,5,0
1,DUF104 domain-containing protein,26_2,37,5,5,1.0,5,0
2,DUF104 domain-containing protein,26_2,37,5,5,1.0,5,0
1,DUF1043 domain-containing protein,26_2,37,4,5,0.8,5,0
1,DUF1248 domain-containing protein,26_2,37,4,5,0.8,5,0
1,DUF1273 domain-containing protein,26_2,37,5,5,1.0,5,0
2,DUF1273 domain-containing protein,26_2,37,5,5,1.0,5,0
1,DUF1738 domain-containing protein,26_2,37,5,5,1.0,5,0
2,DUF1738 domain-containing protein,26_2,37,5,5,1.0,5,0
1,DUF1896 domain-containing protein,26_2,37,5,5,1.0,5,0
1,DUF2012 domain-containing protein,26_2,37,5,5,1.0,5,0
1,DUF2283 domain-containing protein,26_2,37,4,5,0.8,5,0
1,DUF2500 domain-containing protein,26_2,37,5,5,1.0,5,0
2,DUF2500 domain-containing protein,26_2,37,5,5,1.0,5,0
1,DUF2623 domain-containing protein,26_2,37,4,5,0.8,5,0
1,DUF2958 domain-containing protein,26_2,37,5,5,1.0,5,0
2,DUF2958 domain-containing protein,26_2,37,5,5,1.0,5,0
1,DUF3164 domain-containing protein,26_2,37,4,5,0.8,5,0
1,DUF3313 domain-containing protein,26_2,37,4,5,0.8,5,0
1,DUF3408 domain-containing protein,26_2,37,5,5,1.0,5,0
2,DUF3408 domain-containing protein,26_2,37,5,5,1.0,5,0
1,DUF4099 domain-containing protein,26_2,37,5,5,1.0,5,0
1,DUF4133 domain-containing protein,26_2,37,5,5,1.0,5,0
2,DUF4133 domain-containing protein,26_2,37,5,5,1.0,5,0
1,DUF4134 domain-containing protein,26_2,37,5,5,1.0,5,0
2,DUF4134 domain-containing protein,26_2,37,5,5,1.0,5,0
1,DUF4237 domain-containing protein,26_2,37,4,5,0.8,5,0
1,DUF4303 domain-containing protein,26_2,37,5,5,1.0,5,0
1,DUF4406 domain-containing protein,26_2,37,4,5,0.8,5,0
1,DUF5072 domain-containing protein,26_2,37,4,5,0.8,5,0
1,DUF551 domain-containing protein,26_2,37,5,5,1.0,5,0
2,DUF551 domain-containing protein,26_2,37,5,5,1.0,5,0
1,DUF891 domain-containing protein,26_2,37,5,5,1.0,5,0
2,DUF891 domain-containing protein,26_2,37,5,5,1.0,5,0
1,DUF935 domain-containing protein,26_2,37,4,5,0.8,5,0
1,Exonuclease,26_2,37,5,5,1.0,5,0
2,Exonuclease,26_2,37,5,5,1.0,5,0
1,Fumarate hydratase,26_2,37,5,5,1.0,5,0
2,Fumarate hydratase,26_2,37,5,5,1.0,5,0
1,GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase,26_2,37,5,5,1.0,5,0
2,GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase,26_2,37,5,5,1.0,5,0
1,"Helicase, RecD/TraA family",26_2,37,5,5,1.0,5,0
2,"Helicase, RecD/TraA family",26_2,37,5,5,1.0,5,0
1,IS1380 family transposase,26_2,37,5,5,1.0,5,0
2,IS1380 family transposase,26_2,37,5,5,1.0,5,0
1,Immunity protein 42,26_2,37,5,5,1.0,5,0
2,Immunity protein 42,26_2,37,5,5,1.0,5,0
1,Inhibitor-I29 domain-containing protein,26_2,37,4,5,0.8,5,0
1,KAP NTPase domain-containing protein,26_2,37,5,5,1.0,5,0
2,KAP NTPase domain-containing protein,26_2,37,5,5,1.0,5,0
1,Lantibiotic ABC transporter,26_2,37,5,5,1.0,5,0
2,Lantibiotic ABC transporter,26_2,37,5,5,1.0,5,0
1,Mu-transpos-C domain-containing protein,26_2,37,4,5,0.8,5,0
1,"N, N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase",26_2,37,5,5,1.0,5,0
2,"N, N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase",26_2,37,5,5,1.0,5,0
1,NUDIX hydrolase,26_2,37,5,5,1.0,5,0
2,NUDIX hydrolase,26_2,37,5,5,1.0,5,0
1,Nucleic acid-binding domain protein,26_2,37,5,5,1.0,5,0
2,Nucleic acid-binding domain protein,26_2,37,5,5,1.0,5,0
1,Omega-Repress domain-containing protein,26_2,37,5,5,1.0,5,0
1,Phage capsid protein,26_2,37,2,5,0.4,5,0
1,Phage exclusion protein Lit,26_2,37,5,5,1.0,5,0
1,Phage head morphogenesis protein,26_2,37,4,5,0.8,5,0
1,Phage morphogenesis protein,26_2,37,4,5,0.8,5,0
1,Phage-ABA-S domain-containing protein,26_2,37,5,5,1.0,5,0
2,Phage-ABA-S domain-containing protein,26_2,37,5,5,1.0,5,0
1,Phosphoribosyltransferase,26_2,37,5,5,1.0,5,0
2,Phosphoribosyltransferase,26_2,37,5,5,1.0,5,0
1,Photolyase/cryptochrome alpha/beta domain-containing protein,26_2,37,5,5,1.0,5,0
2,Photolyase/cryptochrome alpha/beta domain-containing protein,26_2,37,5,5,1.0,5,0
1,Putative ribose phosphate pyrophosphokinase,26_2,37,5,5,1.0,5,0
2,Putative ribose phosphate pyrophosphokinase,26_2,37,5,5,1.0,5,0
1,Relaxase,26_2,37,5,5,1.0,5,0
2,Relaxase,26_2,37,5,5,1.0,5,0
1,Relaxase/Mobilisation nuclease domain protein,26_2,37,5,5,1.0,5,0
1,Rep-3 domain-containing protein,26_2,37,5,5,1.0,5,0
2,Rep-3 domain-containing protein,26_2,37,5,5,1.0,5,0
1,RibD-C domain-containing protein,26_2,37,5,5,1.0,5,0
2,RibD-C domain-containing protein,26_2,37,5,5,1.0,5,0
1,S23 ribosomal protein,26_2,37,4,5,0.8,5,0
1,SAC domain-containing protein,26_2,37,4,5,0.8,5,0
2,SAC domain-containing protein,26_2,37,4,5,0.8,5,0
1,SpoVT-AbrB domain-containing protein,26_2,37,5,5,1.0,5,0
2,SpoVT-AbrB domain-containing protein,26_2,37,5,5,1.0,5,0
1,TIR domain-containing protein,26_2,37,5,5,1.0,5,0
2,TIR domain-containing protein,26_2,37,5,5,1.0,5,0
1,Terminase-6C domain-containing protein,26_2,37,4,5,0.8,5,0
1,Thymidylate synthase,26_2,37,4,5,0.8,5,0
1,TraG-D-C domain-containing protein,26_2,37,5,5,1.0,5,0
2,TraG-D-C domain-containing protein,26_2,37,5,5,1.0,5,0
1,Translesion error-prone DNA polymerase V autoproteolytic subunit,26_2,37,5,5,1.0,5,0
2,Translesion error-prone DNA polymerase V autoproteolytic subunit,26_2,37,5,5,1.0,5,0
1,Transposase DDE domain protein,26_2,37,5,5,1.0,5,0
2,Transposase DDE domain protein,26_2,37,5,5,1.0,5,0
1,Type I restriction endonuclease subunit S,26_2,37,5,5,1.0,5,0
2,Type I restriction endonuclease subunit S,26_2,37,5,5,1.0,5,0
1,Type IV secretion system protein,26_2,37,5,5,1.0,5,0
2,Type IV secretion system protein,26_2,37,5,5,1.0,5,0
1,Type IV secretory system Conjugative DNA transfer family protein,26_2,37,4,5,0.8,5,0
2,Type IV secretory system Conjugative DNA transfer family protein,26_2,37,4,5,0.8,5,0
