side,cluster,species_id,individual,gene_genome_count,total_genome_count,individual_gene_prev,summary_total_genome_count,missing_genome_count_in_pan
1,50S ribosomal protein L7/L12,26_2,37,4,5,0.8,5,0
1,AAA family ATPase,26_2,37,4,5,0.8,5,0
1,DNA-pol3-finger domain-containing protein,26_2,37,4,5,0.8,5,0
1,DUF1043 domain-containing protein,26_2,37,4,5,0.8,5,0
1,DUF1248 domain-containing protein,26_2,37,4,5,0.8,5,0
1,DUF2283 domain-containing protein,26_2,37,4,5,0.8,5,0
1,DUF2623 domain-containing protein,26_2,37,4,5,0.8,5,0
1,DUF3164 domain-containing protein,26_2,37,4,5,0.8,5,0
1,DUF3313 domain-containing protein,26_2,37,4,5,0.8,5,0
1,DUF4237 domain-containing protein,26_2,37,4,5,0.8,5,0
1,DUF4406 domain-containing protein,26_2,37,4,5,0.8,5,0
1,DUF5072 domain-containing protein,26_2,37,4,5,0.8,5,0
1,DUF935 domain-containing protein,26_2,37,4,5,0.8,5,0
1,Inhibitor-I29 domain-containing protein,26_2,37,4,5,0.8,5,0
1,Mu-transpos-C domain-containing protein,26_2,37,4,5,0.8,5,0
1,Phage capsid protein,26_2,37,2,5,0.4,5,0
1,Phage head morphogenesis protein,26_2,37,4,5,0.8,5,0
1,Phage morphogenesis protein,26_2,37,4,5,0.8,5,0
1,S23 ribosomal protein,26_2,37,4,5,0.8,5,0
1,SAC domain-containing protein,26_2,37,4,5,0.8,5,0
2,SAC domain-containing protein,26_2,37,4,5,0.8,5,0
1,Terminase-6C domain-containing protein,26_2,37,4,5,0.8,5,0
1,Thymidylate synthase,26_2,37,4,5,0.8,5,0
1,Type IV secretory system Conjugative DNA transfer family protein,26_2,37,4,5,0.8,5,0
2,Type IV secretory system Conjugative DNA transfer family protein,26_2,37,4,5,0.8,5,0
1,Viral A-type inclusion protein,26_2,37,2,5,0.4,5,0
1,group_11555,26_2,37,4,5,0.8,5,0
2,group_11555,26_2,37,4,5,0.8,5,0
1,group_13912,26_2,37,4,5,0.8,5,0
1,group_14016,26_2,37,4,5,0.8,5,0
2,group_14016,26_2,37,4,5,0.8,5,0
1,group_14238,26_2,37,4,5,0.8,5,0
2,group_14238,26_2,37,4,5,0.8,5,0
1,group_14367,26_2,37,4,5,0.8,5,0
1,group_14556,26_2,37,4,5,0.8,5,0
1,group_14837,26_2,37,2,5,0.4,5,0
1,group_15297,26_2,37,1,5,0.2,5,0
1,group_17898,26_2,37,4,5,0.8,5,0
1,group_18621,26_2,37,2,5,0.4,5,0
1,group_19131,26_2,37,4,5,0.8,5,0
2,group_19131,26_2,37,4,5,0.8,5,0
1,group_20451,26_2,37,2,5,0.4,5,0
1,group_20809,26_2,37,4,5,0.8,5,0
1,group_21900,26_2,37,4,5,0.8,5,0
1,group_23558,26_2,37,4,5,0.8,5,0
1,group_24082,26_2,37,4,5,0.8,5,0
1,group_2450,26_2,37,4,5,0.8,5,0
1,group_26794,26_2,37,4,5,0.8,5,0
1,group_27636,26_2,37,4,5,0.8,5,0
2,group_27636,26_2,37,4,5,0.8,5,0
1,group_28238,26_2,37,4,5,0.8,5,0
2,group_28238,26_2,37,4,5,0.8,5,0
1,group_28255,26_2,37,2,5,0.4,5,0
1,group_28665,26_2,37,4,5,0.8,5,0
2,group_28665,26_2,37,4,5,0.8,5,0
1,group_29642,26_2,37,4,5,0.8,5,0
2,group_29642,26_2,37,4,5,0.8,5,0
1,group_30041,26_2,37,1,5,0.2,5,0
1,group_31190,26_2,37,4,5,0.8,5,0
2,group_31190,26_2,37,4,5,0.8,5,0
1,group_31338,26_2,37,2,5,0.4,5,0
2,group_31338,26_2,37,2,5,0.4,5,0
1,group_31896,26_2,37,1,5,0.2,5,0
1,group_32108,26_2,37,4,5,0.8,5,0
2,group_32108,26_2,37,4,5,0.8,5,0
1,group_32391,26_2,37,4,5,0.8,5,0
1,group_34639,26_2,37,4,5,0.8,5,0
1,group_35204,26_2,37,2,5,0.4,5,0
1,group_35683,26_2,37,4,5,0.8,5,0
1,group_36886,26_2,37,4,5,0.8,5,0
1,group_37126,26_2,37,1,5,0.2,5,0
1,group_38482,26_2,37,4,5,0.8,5,0
1,group_3894,26_2,37,4,5,0.8,5,0
1,group_38970,26_2,37,4,5,0.8,5,0
2,group_38970,26_2,37,4,5,0.8,5,0
2,group_39047,26_2,37,1,5,0.2,5,0
1,group_39302,26_2,37,4,5,0.8,5,0
1,group_40430,26_2,37,3,5,0.6,5,0
2,group_40430,26_2,37,3,5,0.6,5,0
1,group_40460,26_2,37,2,5,0.4,5,0
1,group_40601,26_2,37,4,5,0.8,5,0
1,group_40855,26_2,37,3,5,0.6,5,0
2,group_40855,26_2,37,3,5,0.6,5,0
1,group_5106,26_2,37,4,5,0.8,5,0
2,group_5106,26_2,37,4,5,0.8,5,0
1,group_5473,26_2,37,2,5,0.4,5,0
1,group_6440,26_2,37,1,5,0.2,5,0
1,group_6503,26_2,37,2,5,0.4,5,0
1,group_6740,26_2,37,4,5,0.8,5,0
2,group_6740,26_2,37,4,5,0.8,5,0
1,group_7367,26_2,37,4,5,0.8,5,0
1,group_8052,26_2,37,3,5,0.6,5,0
2,group_8052,26_2,37,3,5,0.6,5,0
1,group_9430,26_2,37,3,5,0.6,5,0
1,repA,26_2,37,4,5,0.8,5,0
2,repA,26_2,37,4,5,0.8,5,0
1,site-specific DNA-methyltransferase (adenine-specific),26_2,37,4,5,0.8,5,0
1,DUF1851 domain-containing protein,318_39,LL90_E11_8528,2,7,0.285714,7,0
1,DUF4178 domain-containing protein,318_39,LL90_E11_8528,3,7,0.428571,7,0
2,DUF4178 domain-containing protein,318_39,LL90_E11_8528,3,7,0.428571,7,0
1,Lantibiotic ABC transporter permease,318_39,LL90_E11_8528,2,7,0.285714,7,0
1,Methylase-S domain-containing protein,318_39,LL90_E11_8528,6,7,0.857143,7,0
1,NADP oxidoreductase,318_39,LL90_E11_8528,3,7,0.428571,7,0
1,Polyphosphate kinase,318_39,LL90_E11_8528,6,7,0.857143,7,0
1,Putative MobA/MobL plasmid mobilisation protein,318_39,LL90_E11_8528,2,7,0.285714,7,0
1,abiF,318_39,LL90_E11_8528,6,7,0.857143,7,0
2,abiF,318_39,LL90_E11_8528,6,7,0.857143,7,0
1,arcA,318_39,LL90_E11_8528,6,7,0.857143,7,0
1,dsbE,318_39,LL90_E11_8528,6,7,0.857143,7,0
1,group_1110,318_39,LL90_E11_8528,3,7,0.428571,7,0
2,group_1110,318_39,LL90_E11_8528,3,7,0.428571,7,0
1,group_1157,318_39,LL90_E11_8528,6,7,0.857143,7,0
1,group_1500,318_39,LL90_E11_8528,3,7,0.428571,7,0
2,group_1500,318_39,LL90_E11_8528,3,7,0.428571,7,0
1,group_1650,318_39,LL90_E11_8528,2,7,0.285714,7,0
1,group_1755,318_39,LL90_E11_8528,2,7,0.285714,7,0
1,group_2113,318_39,LL90_E11_8528,2,7,0.285714,7,0
1,group_2126,318_39,LL90_E11_8528,6,7,0.857143,7,0
1,group_221,318_39,LL90_E11_8528,3,7,0.428571,7,0
1,group_3183,318_39,LL90_E11_8528,6,7,0.857143,7,0
1,group_3303,318_39,LL90_E11_8528,3,7,0.428571,7,0
1,group_3737,318_39,LL90_E11_8528,6,7,0.857143,7,0
2,group_3737,318_39,LL90_E11_8528,6,7,0.857143,7,0
1,group_3961,318_39,LL90_E11_8528,4,7,0.571429,7,0
1,group_4046,318_39,LL90_E11_8528,2,7,0.285714,7,0
1,group_4144,318_39,LL90_E11_8528,4,7,0.571429,7,0
1,group_4600,318_39,LL90_E11_8528,2,7,0.285714,7,0
1,pepE,318_39,LL90_E11_8528,6,7,0.857143,7,0
2,pepE,318_39,LL90_E11_8528,6,7,0.857143,7,0
1,tet(W),318_39,LL90_E11_8528,6,7,0.857143,7,0
2,tet(W),318_39,LL90_E11_8528,6,7,0.857143,7,0
1,traD,318_39,LL90_E11_8528,3,7,0.428571,7,0
2,traD,318_39,LL90_E11_8528,3,7,0.428571,7,0
1,xFP,318_39,LL90_E11_8528,2,7,0.285714,7,0
1,"Adenine-specific DNA methylase, N12 class",32_1,72,3,6,0.5,6,0
