trait,trait_id,cohort,trait_value,bin,phylo_dist_mean,hgt_rate_mean,n_pairs,n_bins
gram positive,gram_positive,Dutch,0,"(0.00196, 0.0714]",0.04411148949999987,0.25645255699157377,54,28
gram positive,gram_positive,Dutch,0,"(0.0714, 0.138]",0.102315604392857,0.22500887631317548,28,28
gram positive,gram_positive,Dutch,0,"(0.138, 0.204]",0.17482452462244882,0.32020911388431944,98,28
gram positive,gram_positive,Dutch,0,"(0.204, 0.271]",0.2403683077749999,0.37796793439795906,40,28
gram positive,gram_positive,Dutch,0,"(0.271, 0.337]",0.29627129379999995,0.16999999999999998,5,28
gram positive,gram_positive,Dutch,0,"(0.337, 0.404]",0.37998457225,0.08823529411764705,4,28
gram positive,gram_positive,Dutch,0,"(0.404, 0.47]",0.4409637091071427,0.20886060325668526,28,28
gram positive,gram_positive,Dutch,0,"(0.47, 0.537]",0.49351030300970855,0.1788977231815417,103,28
gram positive,gram_positive,Dutch,0,"(0.537, 0.603]",0.5759422955000002,0.0,2,28
gram positive,gram_positive,Dutch,0,"(0.603, 0.67]",0.615100429,0.0,1,28
gram positive,gram_positive,Dutch,0,"(0.67, 0.736]",0.6842550529999998,0.0,1,28
gram positive,gram_positive,Dutch,0,"(0.736, 0.803]",0.7730750399999997,0.0,1,28
gram positive,gram_positive,Dutch,0,"(0.803, 0.869]",0.8573353918461536,0.16926631061246444,13,28
gram positive,gram_positive,Dutch,0,"(0.869, 0.936]",0.9010058650499998,0.29611186036933107,40,28
gram positive,gram_positive,Dutch,0,"(0.936, 1.002]",0.970639961533333,0.08992522617084021,15,28
gram positive,gram_positive,Dutch,0,"(1.002, 1.069]",1.0443432526216212,0.12712654622168518,74,28
gram positive,gram_positive,Dutch,0,"(1.069, 1.135]",1.0967817789166663,0.0801265695552669,12,28
gram positive,gram_positive,Dutch,0,"(1.135, 1.202]",1.152320376285714,0.1494776485088643,21,28
gram positive,gram_positive,Dutch,0,"(1.335, 1.401]",1.3753692410000002,0.0,1,28
gram positive,gram_positive,Dutch,0,"(1.401, 1.468]",1.4371530356666666,0.0,3,28
gram positive,gram_positive,Dutch,0,"(1.468, 1.534]",1.4853808830000002,0.0,1,28
gram positive,gram_positive,Dutch,0,"(1.534, 1.601]",1.5857042561304346,0.0,23,28
gram positive,gram_positive,Dutch,0,"(1.601, 1.667]",1.6130700056666665,0.0,6,28
gram positive,gram_positive,Dutch,0,"(1.667, 1.734]",1.7096723959687499,0.0,32,28
gram positive,gram_positive,Dutch,0,"(1.734, 1.8]",1.773281322219512,3.8796782453508526e-05,41,28
gram positive,gram_positive,Dutch,0,"(1.8, 1.867]",1.8183404168785047,0.0001606492440615599,107,28
gram positive,gram_positive,Dutch,0,"(1.867, 1.933]",1.9026771919122807,6.185792661746582e-05,57,28
gram positive,gram_positive,Dutch,0,"(1.933, 2.0]",1.9543987536,0.0,5,28
gram positive,gram_positive,Dutch,1,"(1.002, 1.069]",1.0684984529999997,0.0,1,15
gram positive,gram_positive,Dutch,1,"(1.069, 1.135]",1.1166646356666663,0.0,3,15
gram positive,gram_positive,Dutch,1,"(1.135, 1.202]",1.1870160882692304,0.0,26,15
gram positive,gram_positive,Dutch,1,"(1.202, 1.268]",1.2258352479999997,0.0,48,15
gram positive,gram_positive,Dutch,1,"(1.268, 1.335]",1.3015561128666664,0.0,15,15
gram positive,gram_positive,Dutch,1,"(1.335, 1.401]",1.3826251646034482,1.9570237582684253e-05,58,15
gram positive,gram_positive,Dutch,1,"(1.401, 1.468]",1.4274531773913044,0.00023161935014228045,46,15
gram positive,gram_positive,Dutch,1,"(1.468, 1.534]",1.5064392166333331,8.067529467712898e-05,60,15
