metric	value
trait	gram positive
trait_id	gram_positive
cohort_species_pair_rows_before_phylo_filter	6486
cohort_species_pair_rows_phylo_le_2	4424
binned_rows_plotted	133
Dutch_rows_phylo_le_2	3402
US_rows_phylo_le_2	1022
US_main_p	4.205722654297478e-49
NL_main_p	5.263476769998734e-63
US_delta_R2	0.1331683402428806
NL_delta_R2	0.1629259001764917
US_downsampling_prop_p_lt_0_05	1.0
NL_downsampling_prop_p_lt_0_05	1.0
US_direction	suppresses_monotonic_0>1>2
NL_DAG3_RISEUP_direction	suppresses_monotonic_0>1>2
overall_direction	suppresses_HGT
