cohort,species_pair,n_total_pairs,n_hgt_pairs,hgt_rate,phylo_dist,trait_value
Dutch,100_1-101_1,2,0,0.0,0.8885244830000003,0
Dutch,100_1-104_1,3,0,0.0,0.2820549529999998,0
Dutch,100_1-14_1,2,0,0.0,2.363446739,1
Dutch,100_1-223_1,2,0,0.0,0.7730190079999999,0
Dutch,100_1-229_3,2,0,0.0,0.8597524619999994,0
Dutch,100_1-26_2,3,0,0.0,2.616129753,1
Dutch,100_1-335_1,16,0,0.0,2.018007237,1
Dutch,100_1-338_1,1,0,0.0,2.052173019,1
Dutch,100_1-44_3,1,0,0.0,2.513238254,1
Dutch,100_1-45_1,4,0,0.0,2.5927045669999997,1
Dutch,100_1-46_1,2,0,0.0,2.4613279429999992,1
Dutch,100_1-48_2,2,0,0.0,2.5235499429999995,1
Dutch,100_1-50_1,1,0,0.0,2.5185128599999995,1
Dutch,100_1-51_1,1,0,0.0,2.521091089999999,1
Dutch,100_1-66_5,11,0,0.0,2.13505212,0
Dutch,100_1-96_1,5,0,0.0,0.6369715930000002,0
Dutch,100_1-97_1,4,0,0.0,0.669119674,0
Dutch,101_1-102_1,34,0,0.0,0.9496774879999998,0
Dutch,101_1-102_2,3,0,0.0,0.950083105,0
Dutch,101_1-104_1,10,0,0.0,0.872214466,0
Dutch,101_1-106_1,10,0,0.0,0.8896566409999997,0
Dutch,101_1-107_1,2,0,0.0,0.8854343,0
Dutch,101_1-10_2,3,0,0.0,2.296728025,1
Dutch,101_1-112_1,22,0,0.0,0.2274179049999998,0
Dutch,101_1-113_1,20,0,0.0,0.3105575800000002,0
Dutch,101_1-114_1,1,0,0.0,0.3064036209999998,0
Dutch,101_1-119_1,33,0,0.0,0.5715660599999999,0
Dutch,101_1-11_1,10,0,0.0,2.279961686,1
Dutch,101_1-120_1,80,0,0.0,0.5713647339999999,0
Dutch,101_1-125_1,55,0,0.0,0.543747362,0
Dutch,101_1-134_1,3,0,0.0,1.3705398420000003,1
Dutch,101_1-152_1,13,0,0.0,1.6641748120000002,1
Dutch,101_1-154_1,9,0,0.0,1.7133839629999996,1
Dutch,101_1-179_1,22,0,0.0,1.384833484,1
Dutch,101_1-180_1,2,0,0.0,1.397309249,1
Dutch,101_1-181_3,10,0,0.0,1.39204787,1
Dutch,101_1-223_1,4,0,0.0,0.7779854429999999,0
Dutch,101_1-229_2,2,0,0.0,0.867798515,0
Dutch,101_1-229_3,36,0,0.0,0.8647188969999999,0
Dutch,101_1-233_1,1,0,0.0,0.865790992,0
Dutch,101_1-233_3,5,0,0.0,0.8670515340000002,0
Dutch,101_1-26_2,34,0,0.0,2.621096188,1
Dutch,101_1-26_3,9,0,0.0,2.6102031299999995,1
Dutch,101_1-283_1,3,0,0.0,1.5780843450000002,1
Dutch,101_1-290_1,12,0,0.0,1.6204658949999995,1
Dutch,101_1-297_1,1,0,0.0,0.9210459230000004,1
Dutch,101_1-318_39,4,0,0.0,1.895447281,1
Dutch,101_1-318_42,4,0,0.0,1.894039793,1
Dutch,101_1-318_54,1,0,0.0,1.894698767,1
Dutch,101_1-318_56,27,0,0.0,1.892322219,1
Dutch,101_1-325_1,1,0,0.0,1.96146386,1
Dutch,101_1-326_1,29,0,0.0,1.941977905,1
Dutch,101_1-32_1,23,0,0.0,2.505358869,1
Dutch,101_1-330_1,14,0,0.0,2.0442983540000004,1
Dutch,101_1-333_1,8,0,0.0,2.009752009,1
Dutch,101_1-334_1,9,0,0.0,2.0257701690000003,1
Dutch,101_1-334_3,5,0,0.0,2.032916533,1
Dutch,101_1-335_1,1011,0,0.0,2.022973672,1
Dutch,101_1-336_1,6,0,0.0,2.04096222,1
Dutch,101_1-337_1,1,0,0.0,2.0649641890000003,1
Dutch,101_1-338_1,451,0,0.0,2.057139454,1
Dutch,101_1-37_1,11,0,0.0,2.516525802,1
Dutch,101_1-39_2,12,0,0.0,2.510370458,1
Dutch,101_1-42_2,19,0,0.0,2.505833101,1
Dutch,101_1-43_1,10,0,0.0,2.512422111,1
Dutch,101_1-44_1,12,0,0.0,2.517494249,1
Dutch,101_1-44_3,36,0,0.0,2.518204689,1
Dutch,101_1-44_5,2,0,0.0,2.52058843,1
Dutch,101_1-45_1,62,0,0.0,2.597671002,1
Dutch,101_1-46_1,50,0,0.0,2.466294378,1
Dutch,101_1-48_2,73,0,0.0,2.5285163779999995,1
Dutch,101_1-4_2,2,0,0.0,2.412012382,1
Dutch,101_1-50_1,16,0,0.0,2.523479295,1
Dutch,101_1-51_1,6,0,0.0,2.526057525,1
Dutch,101_1-52_1,2,0,0.0,2.530592366,1
Dutch,101_1-55_1,6,0,0.0,2.046083591,1
Dutch,101_1-66_3,8,0,0.0,2.147060771,0
Dutch,101_1-66_4,4,0,0.0,2.141500349,0
Dutch,101_1-66_5,241,0,0.0,2.140018555,0
Dutch,101_1-69_1,3,0,0.0,2.137170511,0
Dutch,101_1-76_2,10,0,0.0,2.136392391,0
Dutch,101_1-76_3,1,0,0.0,2.126191216,0
Dutch,101_1-80_1,10,0,0.0,2.042400315,0
Dutch,101_1-90_1,11,0,0.0,0.5922133700000001,0
Dutch,101_1-96_1,30,0,0.0,0.826868428,0
Dutch,101_1-97_1,65,0,0.0,0.8590165089999999,0
Dutch,102_1-102_2,5,1,0.2,0.0118188410000001,0
Dutch,102_1-104_1,2,0,0.0,0.2697753679999999,0
Dutch,102_1-107_1,9,4,0.4444444444444444,0.2829952019999999,0
Dutch,102_1-109_2,3,0,0.0,0.2342647489999998,0
Dutch,102_1-10_2,24,0,0.0,2.352914594999999,1
Dutch,102_1-112_1,98,14,0.14285714285714285,0.9454678789999996,0
Dutch,102_1-113_1,23,0,0.0,0.907467714,0
Dutch,102_1-114_1,25,0,0.0,0.9033137549999996,0
Dutch,102_1-114_2,5,0,0.0,0.903031511,0
Dutch,102_1-119_1,22,0,0.0,0.7897902179999994,0
Dutch,102_1-11_1,15,0,0.0,2.336148255999999,1
Dutch,102_1-120_1,65,0,0.0,0.7895888919999994,0
Dutch,102_1-122_1,2,0,0.0,0.8739997449999999,0
Dutch,102_1-123_0,1,0,0.0,0.89570185,0
Dutch,102_1-124_1,4,0,0.0,0.859649514,0
Dutch,102_1-125_1,42,1,0.023809523809523808,0.8170282559999995,0
Dutch,102_1-12_1,3,0,0.0,2.3426962259999997,1
Dutch,102_1-14_1,17,0,0.0,2.424599744,1
Dutch,102_1-150_1,3,0,0.0,1.7039514939999996,1
Dutch,102_1-178_1,2,0,0.0,1.396684143999999,1
Dutch,102_1-179_1,20,0,0.0,1.4410200539999996,1
Dutch,102_1-180_1,11,0,0.0,1.4534958189999996,1
Dutch,102_1-181_1,2,0,0.0,1.4444048039999997,1
Dutch,102_1-181_3,5,0,0.0,1.4482344399999991,1
Dutch,102_1-186_1,1,0,0.0,1.6162140349999992,1
Dutch,102_1-196_1,2,0,0.0,1.0354392459999993,0
Dutch,102_1-200_1,1,0,0.0,0.9651868899999996,0
Dutch,102_1-210_1,3,0,0.0,1.4000530009999994,1
Dutch,102_1-223_1,53,0,0.0,0.8341720129999994,0
Dutch,102_1-228_2,4,0,0.0,0.9393101279999994,0
Dutch,102_1-229_1,4,0,0.0,0.9204803589999996,0
Dutch,102_1-229_2,6,0,0.0,0.9239850849999997,0
Dutch,102_1-229_3,153,0,0.0,0.9209054669999994,0
Dutch,102_1-233_1,5,0,0.0,0.9219775619999996,0
Dutch,102_1-233_3,13,0,0.0,0.9232381039999996,0
Dutch,102_1-234_1,5,0,0.0,0.9163748169999996,0
