trait,trait_id,cohort,trait_value,bin,phylo_dist_mean,hgt_rate_mean,n_pairs,n_bins
presence of motility,presence_of_motility,Dutch,0,"(0.00196, 0.0714]",0.033872135958333285,0.2734796070853063,72,30
presence of motility,presence_of_motility,Dutch,0,"(0.0714, 0.138]",0.10909133864864859,0.18231463033725062,37,30
presence of motility,presence_of_motility,Dutch,0,"(0.138, 0.204]",0.1761546331102361,0.2475225974206356,127,30
presence of motility,presence_of_motility,Dutch,0,"(0.204, 0.271]",0.23401284095402286,0.17654936142734354,87,30
presence of motility,presence_of_motility,Dutch,0,"(0.271, 0.337]",0.2936524973157894,0.08316624895572264,19,30
presence of motility,presence_of_motility,Dutch,0,"(0.337, 0.404]",0.37745997524999997,0.08823529411764705,4,30
presence of motility,presence_of_motility,Dutch,0,"(0.404, 0.47]",0.439714166108108,0.1696396843178004,37,30
presence of motility,presence_of_motility,Dutch,0,"(0.47, 0.537]",0.4977941993384614,0.14943434990537535,130,30
presence of motility,presence_of_motility,Dutch,0,"(0.537, 0.603]",0.5712356750294117,0.04768724399054135,34,30
presence of motility,presence_of_motility,Dutch,0,"(0.603, 0.67]",0.6349184713999998,0.0,35,30
presence of motility,presence_of_motility,Dutch,0,"(0.67, 0.736]",0.7135471521509431,0.0021957409246386407,53,30
presence of motility,presence_of_motility,Dutch,0,"(0.736, 0.803]",0.7728234991320753,0.02223719676549865,53,30
presence of motility,presence_of_motility,Dutch,0,"(0.803, 0.869]",0.8425680641379307,0.02706602362597268,87,30
presence of motility,presence_of_motility,Dutch,0,"(0.869, 0.936]",0.9000852597303368,0.1349566413644934,89,30
presence of motility,presence_of_motility,Dutch,0,"(0.936, 1.002]",0.967888007028571,0.05308379195766679,35,30
presence of motility,presence_of_motility,Dutch,0,"(1.002, 1.069]",1.0437679459473683,0.06269815720690324,152,30
presence of motility,presence_of_motility,Dutch,0,"(1.069, 1.135]",1.0970447787291666,0.020053377739190574,48,30
presence of motility,presence_of_motility,Dutch,0,"(1.135, 1.202]",1.171381067842105,0.05507071260852895,57,30
presence of motility,presence_of_motility,Dutch,0,"(1.202, 1.268]",1.2263537869259256,0.0,54,30
presence of motility,presence_of_motility,Dutch,0,"(1.268, 1.335]",1.296137814588235,0.0,17,30
presence of motility,presence_of_motility,Dutch,0,"(1.335, 1.401]",1.3747469325409833,0.0,61,30
presence of motility,presence_of_motility,Dutch,0,"(1.401, 1.468]",1.4385818539696968,0.0,33,30
presence of motility,presence_of_motility,Dutch,0,"(1.468, 1.534]",1.5050970311612901,0.0,62,30
presence of motility,presence_of_motility,Dutch,0,"(1.534, 1.601]",1.5641183809176469,0.0,85,30
presence of motility,presence_of_motility,Dutch,0,"(1.601, 1.667]",1.633490162861702,0.0,94,30
presence of motility,presence_of_motility,Dutch,0,"(1.667, 1.734]",1.7030594596104647,0.000285932138772398,172,30
presence of motility,presence_of_motility,Dutch,0,"(1.734, 1.8]",1.7726637730209205,0.0038094123249871434,239,30
presence of motility,presence_of_motility,Dutch,0,"(1.8, 1.867]",1.8353236966420663,0.0004126399878744154,271,30
presence of motility,presence_of_motility,Dutch,0,"(1.867, 1.933]",1.8974211767068403,0.00045843444812562913,307,30
presence of motility,presence_of_motility,Dutch,0,"(1.933, 2.0]",1.9621619165449438,0.0002808736670923955,178,30
presence of motility,presence_of_motility,Dutch,1,"(0.00196, 0.0714]",0.06508154712499965,0.022664835164835164,8,24
presence of motility,presence_of_motility,Dutch,1,"(0.0714, 0.138]",0.0813673732499996,0.005935754189944134,4,24
presence of motility,presence_of_motility,Dutch,1,"(0.204, 0.271]",0.2418082290000001,0.0,1,24
presence of motility,presence_of_motility,Dutch,1,"(0.337, 0.404]",0.37099066799999986,0.0,2,24
presence of motility,presence_of_motility,Dutch,1,"(0.47, 0.537]",0.5362578280000001,0.0,1,24
presence of motility,presence_of_motility,Dutch,1,"(0.603, 0.67]",0.6056071900000002,0.0,1,24
presence of motility,presence_of_motility,Dutch,1,"(0.736, 0.803]",0.7757865193333328,0.0,3,24
presence of motility,presence_of_motility,Dutch,1,"(0.803, 0.869]",0.834466411333333,0.0,6,24
presence of motility,presence_of_motility,Dutch,1,"(0.869, 0.936]",0.9160007033333333,0.0,3,24
