metric	value
trait	presence of motility
trait_id	presence_of_motility
cohort_species_pair_rows_before_phylo_filter	6278
cohort_species_pair_rows_phylo_le_2	4268
binned_rows_plotted	109
Dutch_rows_phylo_le_2	3267
US_rows_phylo_le_2	1001
US_main_p	7.373838639688813e-08
NL_main_p	0.0004711485277181908
US_delta_R2	-0.0243345635989167
NL_delta_R2	-0.0075917954343969
US_downsampling_prop_p_lt_0_05	0.95
NL_downsampling_prop_p_lt_0_05	1.0
US_direction	suppresses_monotonic_0>1>2
NL_DAG3_RISEUP_direction	suppresses_monotonic_0>1>2
overall_direction	suppresses_HGT
