trait,trait_id,cohort,trait_value,bin,phylo_dist_mean,hgt_rate_mean,n_pairs,n_bins
growth: cellobiose,growth_cellobiose,Dutch,0,"(0.00196, 0.0714]",0.033157233263888836,0.2520675700482692,72,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(0.0714, 0.138]",0.10909133864864859,0.18231463033725062,37,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(0.138, 0.204]",0.1761546331102361,0.2475225974206356,127,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(0.204, 0.271]",0.2341014249090908,0.174543118683851,88,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(0.271, 0.337]",0.2936524973157894,0.08316624895572264,19,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(0.337, 0.404]",0.37745997524999997,0.08823529411764705,4,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(0.404, 0.47]",0.439714166108108,0.1696396843178004,37,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(0.47, 0.537]",0.49831409911764685,0.14284165799778525,136,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(0.537, 0.603]",0.5703551567222223,0.0450379526577335,36,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(0.603, 0.67]",0.634650725317073,0.0,41,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(0.67, 0.736]",0.712400041645161,0.0018770043388039992,62,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(0.736, 0.803]",0.7733366515499999,0.019642857142857142,60,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(0.803, 0.869]",0.8422052953510636,0.025050468675102376,94,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(0.869, 0.936]",0.9006042415869563,0.13055588131999904,92,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(0.936, 1.002]",0.9668262847749997,0.04644831796295844,40,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(1.002, 1.069]",1.0437702486730767,0.06109051215031597,156,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(1.069, 1.135]",1.096631533387755,0.019644125132268316,49,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(1.135, 1.202]",1.1717277690666663,0.0523171769781025,60,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(1.202, 1.268]",1.2272026364426227,0.0,61,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(1.268, 1.335]",1.2986586663214283,0.0,28,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(1.335, 1.401]",1.3753755374999999,1.5338834862103875e-05,74,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(1.401, 1.468]",1.4292729118461536,0.00016391523240838308,65,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(1.468, 1.534]",1.5029055109473681,6.369102211352288e-05,76,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(1.534, 1.601]",1.5653460078785046,0.0009201659321878693,107,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(1.601, 1.667]",1.6319823008999998,0.0,120,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(1.667, 1.734]",1.703398473242424,0.00024838549428713363,198,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(1.734, 1.8]",1.77144113010989,0.0033408066437821287,273,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(1.8, 1.867]",1.8359153764026401,0.0004257917684110676,303,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(1.867, 1.933]",1.8983265153192768,0.000434533968047481,332,30
growth: cellobiose,growth_cellobiose,Dutch,0,"(1.933, 2.0]",1.9633316039747475,0.0002525025896083152,198,30
growth: cellobiose,growth_cellobiose,Dutch,1,"(0.00196, 0.0714]",0.06259391099999977,0.01510989010989011,12,14
growth: cellobiose,growth_cellobiose,Dutch,1,"(0.0714, 0.138]",0.08223551699999963,0.007914338919925512,3,14
growth: cellobiose,growth_cellobiose,Dutch,1,"(0.337, 0.404]",0.3754049180000001,0.0,1,14
growth: cellobiose,growth_cellobiose,Dutch,1,"(1.268, 1.335]",1.3278573350000005,0.0,1,14
growth: cellobiose,growth_cellobiose,Dutch,1,"(1.335, 1.401]",1.38897431255,0.0,20,14
growth: cellobiose,growth_cellobiose,Dutch,1,"(1.401, 1.468]",1.4412063084285716,0.0,14,14
growth: cellobiose,growth_cellobiose,Dutch,1,"(1.468, 1.534]",1.5146299249166668,0.0,24,14
growth: cellobiose,growth_cellobiose,Dutch,1,"(1.534, 1.601]",1.5641862271388889,0.0,36,14
growth: cellobiose,growth_cellobiose,Dutch,1,"(1.601, 1.667]",1.656283483,0.0,1,14
growth: cellobiose,growth_cellobiose,Dutch,1,"(1.667, 1.734]",1.7120645215333332,0.0,15,14
growth: cellobiose,growth_cellobiose,Dutch,1,"(1.734, 1.8]",1.7724720604166666,0.0,24,14
growth: cellobiose,growth_cellobiose,Dutch,1,"(1.8, 1.867]",1.819898613864865,0.0,74,14
growth: cellobiose,growth_cellobiose,Dutch,1,"(1.867, 1.933]",1.902878893888889,0.0,45,14
growth: cellobiose,growth_cellobiose,Dutch,1,"(1.933, 2.0]",1.953598094282051,0.0,39,14
growth: cellobiose,growth_cellobiose,US,0,"(0.00827, 0.0775]",0.049027280870967624,0.4868687366002604,31,30
growth: cellobiose,growth_cellobiose,US,0,"(0.0775, 0.144]",0.1172944504814814,0.5200725589372835,27,30
growth: cellobiose,growth_cellobiose,US,0,"(0.144, 0.21]",0.18519290061842086,0.4568612484991618,76,30
growth: cellobiose,growth_cellobiose,US,0,"(0.21, 0.276]",0.24994916586792448,0.5332790725790263,53,30
growth: cellobiose,growth_cellobiose,US,0,"(0.276, 0.343]",0.2880451649999997,0.0,1,30
growth: cellobiose,growth_cellobiose,US,0,"(0.343, 0.409]",0.3599235919999999,0.0,1,30
growth: cellobiose,growth_cellobiose,US,0,"(0.409, 0.475]",0.45086106315789454,0.5792920598523238,19,30
growth: cellobiose,growth_cellobiose,US,0,"(0.475, 0.541]",0.49541827891666645,0.44549978311276955,72,30
growth: cellobiose,growth_cellobiose,US,0,"(0.541, 0.608]",0.568733963,0.0,4,30
growth: cellobiose,growth_cellobiose,US,0,"(0.608, 0.674]",0.6496785331538459,0.0,13,30
growth: cellobiose,growth_cellobiose,US,0,"(0.674, 0.74]",0.7106950935416664,0.0,24,30
growth: cellobiose,growth_cellobiose,US,0,"(0.74, 0.806]",0.7821312858333331,0.0,12,30
growth: cellobiose,growth_cellobiose,US,0,"(0.806, 0.873]",0.8487876642857142,0.14262799856784816,35,30
growth: cellobiose,growth_cellobiose,US,0,"(0.873, 0.939]",0.9044580027499998,0.27247023809523807,16,30
growth: cellobiose,growth_cellobiose,US,0,"(0.939, 1.005]",0.9680047883636359,0.332395159020546,11,30
growth: cellobiose,growth_cellobiose,US,0,"(1.005, 1.072]",1.04506097690625,0.3601176167582418,32,30
growth: cellobiose,growth_cellobiose,US,0,"(1.072, 1.138]",1.087964156222222,0.09401709401709402,9,30
growth: cellobiose,growth_cellobiose,US,0,"(1.138, 1.204]",1.161513967285714,0.24152752009894865,7,30
growth: cellobiose,growth_cellobiose,US,0,"(1.204, 1.27]",1.2296900551666663,0.0,6,30
growth: cellobiose,growth_cellobiose,US,0,"(1.27, 1.337]",1.2961089663999998,0.0,10,30
growth: cellobiose,growth_cellobiose,US,0,"(1.337, 1.403]",1.388682529142857,0.0,7,30
growth: cellobiose,growth_cellobiose,US,0,"(1.403, 1.469]",1.454185389,0.0,2,30
growth: cellobiose,growth_cellobiose,US,0,"(1.469, 1.535]",1.519640182,0.0,7,30
growth: cellobiose,growth_cellobiose,US,0,"(1.535, 1.602]",1.57073544875,0.0,16,30
growth: cellobiose,growth_cellobiose,US,0,"(1.602, 1.668]",1.6408834169444442,0.0,18,30
growth: cellobiose,growth_cellobiose,US,0,"(1.668, 1.734]",1.7071349668387095,0.0064516129032258064,31,30
growth: cellobiose,growth_cellobiose,US,0,"(1.734, 1.8]",1.7741602423333334,0.006724479877372669,66,30
growth: cellobiose,growth_cellobiose,US,0,"(1.8, 1.867]",1.8354470166363637,0.0012114564009160853,110,30
growth: cellobiose,growth_cellobiose,US,0,"(1.867, 1.933]",1.9041280550948905,0.0019510721073238819,137,30
growth: cellobiose,growth_cellobiose,US,0,"(1.933, 1.999]",1.9578453957808217,0.0010119443826641227,73,30
growth: cellobiose,growth_cellobiose,US,1,"(0.00827, 0.0775]",0.06592338183333302,0.0,6,10
growth: cellobiose,growth_cellobiose,US,1,"(0.0775, 0.144]",0.0801062999999997,0.0,1,10
growth: cellobiose,growth_cellobiose,US,1,"(1.337, 1.403]",1.3907968136666666,0.0,3,10
growth: cellobiose,growth_cellobiose,US,1,"(1.403, 1.469]",1.434595916,0.0,1,10
growth: cellobiose,growth_cellobiose,US,1,"(1.469, 1.535]",1.5243636877142859,0.0,14,10
growth: cellobiose,growth_cellobiose,US,1,"(1.535, 1.602]",1.552563752875,0.0,8,10
growth: cellobiose,growth_cellobiose,US,1,"(1.734, 1.8]",1.777428817222222,0.0,9,10
growth: cellobiose,growth_cellobiose,US,1,"(1.8, 1.867]",1.81585073746875,0.0,32,10
growth: cellobiose,growth_cellobiose,US,1,"(1.867, 1.933]",1.8995078795714286,0.0,7,10
growth: cellobiose,growth_cellobiose,US,1,"(1.933, 1.999]",1.955152079142857,0.0,7,10
