trait,trait_id,cohort,trait_value,bin,phylo_dist_mean,hgt_rate_mean,n_pairs,n_bins
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(0.00196, 0.0714]",0.038715075444444344,0.14025568920051504,9,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(0.0714, 0.138]",0.08975638999999999,0.0,2,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(0.138, 0.204]",0.18297254699999993,0.0,4,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(0.204, 0.271]",0.22946235981818178,0.01417149625618681,11,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(0.271, 0.337]",0.3000578602222222,0.031746031746031744,9,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(0.337, 0.404]",0.372603088,0.0,1,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(0.404, 0.47]",0.4283942339999996,0.14285714285714285,3,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(0.47, 0.537]",0.51328000275,0.0,12,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(0.537, 0.603]",0.5717817452666668,0.0028368794326241132,15,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(0.603, 0.67]",0.6383783740000002,0.0,3,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(0.869, 0.936]",0.9113173799999996,0.0,2,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(0.936, 1.002]",0.974573961,0.0,1,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(1.002, 1.069]",1.0363787706774192,0.00025806451612903227,31,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(1.069, 1.135]",1.0979142576666667,0.0,9,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(1.135, 1.202]",1.1644089819999996,0.0,3,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(1.202, 1.268]",1.2381762584545453,0.0,11,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(1.268, 1.335]",1.2847862127142855,0.0,7,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(1.335, 1.401]",1.3657545848571429,0.0,7,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(1.401, 1.468]",1.433296505,0.0,4,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(1.468, 1.534]",1.5032922547499998,0.0,12,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(1.534, 1.601]",1.5580008583333331,0.0,6,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(1.601, 1.667]",1.6363387306315789,0.0,19,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(1.667, 1.734]",1.7055564614090906,0.0,22,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(1.734, 1.8]",1.7707733087777777,0.0,18,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(1.8, 1.867]",1.8382033620624998,0.0,32,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(1.867, 1.933]",1.8906156582812499,0.0,32,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,0,"(1.933, 2.0]",1.9733295314800001,0.0012227074235807859,25,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(0.404, 0.47]",0.4457321559999999,0.0,3,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(0.47, 0.537]",0.5104084072000001,0.0,5,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(0.537, 0.603]",0.5448740733333333,0.10119047619047618,3,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(0.603, 0.67]",0.6324064599090904,0.0,11,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(0.67, 0.736]",0.7103429914193545,0.003395585738539898,31,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(0.736, 0.803]",0.7761780981666663,0.0,18,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(0.803, 0.869]",0.8450411140869563,0.0,23,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(0.869, 0.936]",0.8965823171578946,0.0,19,24
