species_pair,phylogeny,group,total,HGT,non_HGT
100_1-335_1,2.018007237,within,26,0,26
100_1-335_1,2.018007237,between,29149,0,29149
100_1-338_1,2.0521730189999996,within,37,0,37
100_1-338_1,2.0521730189999996,between,19133,0,19133
101_1-102_1,0.9496774879999998,within,34,0,34
101_1-102_1,0.9496774879999998,between,9566,0,9566
101_1-112_1,0.2274179049999998,within,22,0,22
101_1-112_1,0.2274179049999998,between,16778,0,16778
101_1-119_1,0.5715660599999999,within,33,0,33
101_1-119_1,0.5715660599999999,between,9117,0,9117
101_1-120_1,0.5713647339999999,within,80,0,80
101_1-120_1,0.5713647339999999,between,9595,0,9595
101_1-125_1,0.543747362,within,55,0,55
101_1-125_1,0.543747362,between,10295,0,10295
101_1-179_1,1.384833484,within,22,0,22
101_1-179_1,1.384833484,between,2378,0,2378
101_1-229_3,0.8647188969999999,within,48,0,48
101_1-229_3,0.8647188969999999,between,36852,0,36852
101_1-26_2,2.6210961879999997,within,62,0,62
101_1-26_2,2.6210961879999997,between,35863,0,35863
101_1-318_56,1.892322219,within,27,0,27
101_1-318_56,1.892322219,between,32148,0,32148
101_1-326_1,1.941977905,within,29,0,29
101_1-326_1,1.941977905,between,19471,0,19471
101_1-32_1,2.5053588689999997,within,81,0,81
101_1-32_1,2.5053588689999997,between,36969,0,36969
101_1-334_1,2.0257701690000003,within,23,0,23
101_1-334_1,2.0257701690000003,between,30727,0,30727
101_1-335_1,2.022973672,within,1185,0,1185
101_1-335_1,2.022973672,between,436440,0,436440
101_1-338_1,2.0571394539999996,within,499,0,499
101_1-338_1,2.0571394539999996,between,287051,0,287051
101_1-42_2,2.505833101,within,27,0,27
101_1-42_2,2.505833101,between,21948,0,21948
101_1-44_1,2.517494249,within,28,0,28
101_1-44_1,2.517494249,between,18872,0,18872
101_1-44_3,2.5182046889999996,within,82,0,82
101_1-44_3,2.5182046889999996,between,38468,0,38468
101_1-45_1,2.597671002,within,226,0,226
101_1-45_1,2.597671002,between,147974,0,147974
101_1-46_1,2.4662943779999997,within,68,0,68
101_1-46_1,2.4662943779999997,between,49582,0,49582
101_1-48_2,2.5285163779999995,within,97,0,97
