species_1,species_2,species_pair,genomes_species_1,genomes_species_2,within_individual_genome_pairs,between_individual_genome_pairs,total_genome_pairs,n_individuals_with_both_species,within_HGT,between_HGT,within_HGT_rate,between_HGT_rate
100_1,101_1,100_1-101_1,5,75,2,373,375,1,0,0,0,0
100_1,102_1,100_1-102_1,5,128,0,640,640,0,0,0,0,0
100_1,102_2,100_1-102_2,5,58,1,289,290,1,0,0,0,0
100_1,103_1,100_1-103_1,5,2,0,10,10,0,0,0,0,0
100_1,103_2,100_1-103_2,5,5,0,25,25,0,0,0,0,0
100_1,104_1,100_1-104_1,5,24,3,117,120,1,0,0,0,0
100_1,105_1,100_1-105_1,5,2,0,10,10,0,0,0,0,0
100_1,106_1,100_1-106_1,5,3,0,15,15,0,0,0,0,0
100_1,107_1,100_1-107_1,5,7,0,35,35,0,0,0,0,0
100_1,109_1,100_1-109_1,5,6,0,30,30,0,0,0,0,0
100_1,109_2,100_1-109_2,5,5,0,25,25,0,0,0,0,0
100_1,10_1,100_1-10_1,5,5,0,25,25,0,0,0,0,0
100_1,10_2,100_1-10_2,5,120,0,600,600,0,0,0,0,0
100_1,111_1,100_1-111_1,5,5,0,25,25,0,0,0,0,0
100_1,112_1,100_1-112_1,5,224,0,1120,1120,0,0,0,0,0
100_1,113_1,100_1-113_1,5,16,0,80,80,0,0,0,0,0
100_1,114_1,100_1-114_1,5,23,0,115,115,0,0,0,0,0
100_1,114_2,100_1-114_2,5,26,0,130,130,0,0,0,0,0
100_1,116_1,100_1-116_1,5,36,0,180,180,0,0,0,0,0
100_1,118_1,100_1-118_1,5,2,0,10,10,0,0,0,0,0
100_1,119_1,100_1-119_1,5,122,0,610,610,0,0,0,0,0
100_1,11_1,100_1-11_1,5,45,0,225,225,0,0,0,0,0
100_1,120_1,100_1-120_1,5,129,0,645,645,0,0,0,0,0
100_1,121_1,100_1-121_1,5,15,0,75,75,0,0,0,0,0
100_1,122_1,100_1-122_1,5,18,0,90,90,0,0,0,0,0
100_1,123_0,100_1-123_0,5,1,0,5,5,0,0,0,0,0
100_1,124_1,100_1-124_1,5,40,0,200,200,0,0,0,0,0
100_1,125_1,100_1-125_1,5,138,0,690,690,0,0,0,0,0
100_1,128_2,100_1-128_2,5,4,0,20,20,0,0,0,0,0
100_1,12_1,100_1-12_1,5,20,0,100,100,0,0,0,0,0
100_1,134_1,100_1-134_1,5,2,0,10,10,0,0,0,0,0
100_1,138_1,100_1-138_1,5,11,0,55,55,0,0,0,0,0
100_1,13_1,100_1-13_1,5,32,0,160,160,0,0,0,0,0
100_1,140_1,100_1-140_1,5,5,0,25,25,0,0,0,0,0
100_1,142_1,100_1-142_1,5,8,0,40,40,0,0,0,0,0
100_1,142_2,100_1-142_2,5,1,0,5,5,0,0,0,0,0
100_1,144_1,100_1-144_1,5,9,0,45,45,0,0,0,0,0
100_1,144_2,100_1-144_2,5,2,0,10,10,0,0,0,0,0
100_1,144_3,100_1-144_3,5,3,0,15,15,0,0,0,0,0
100_1,145_1,100_1-145_1,5,2,0,10,10,0,0,0,0,0
100_1,145_2,100_1-145_2,5,1,0,5,5,0,0,0,0,0
100_1,147_1,100_1-147_1,5,2,0,10,10,0,0,0,0,0
100_1,149_1,100_1-149_1,5,7,0,35,35,0,0,0,0,0
100_1,14_1,100_1-14_1,5,82,2,408,410,1,0,0,0,0
100_1,150_1,100_1-150_1,5,11,0,55,55,0,0,0,0,0
100_1,152_1,100_1-152_1,5,23,0,115,115,0,0,0,0,0
100_1,153_1,100_1-153_1,5,14,0,70,70,0,0,0,0,0
100_1,153_2,100_1-153_2,5,8,0,40,40,0,0,0,0,0
100_1,154_1,100_1-154_1,5,6,0,30,30,0,0,0,0,0
100_1,161_1,100_1-161_1,5,2,0,10,10,0,0,0,0,0
100_1,170_1,100_1-170_1,5,6,0,30,30,0,0,0,0,0
100_1,171_1,100_1-171_1,5,6,0,30,30,0,0,0,0,0
100_1,173_1,100_1-173_1,5,2,0,10,10,0,0,0,0,0
100_1,175_1,100_1-175_1,5,4,1,19,20,1,0,0,0,0
100_1,176_1,100_1-176_1,5,5,0,25,25,0,0,0,0,0
100_1,176_2,100_1-176_2,5,5,0,25,25,0,0,0,0,0
100_1,178_1,100_1-178_1,5,7,0,35,35,0,0,0,0,0
100_1,178_2,100_1-178_2,5,6,0,30,30,0,0,0,0,0
100_1,179_1,100_1-179_1,5,32,0,160,160,0,0,0,0,0
100_1,17_1,100_1-17_1,5,2,0,10,10,0,0,0,0,0
100_1,180_1,100_1-180_1,5,37,0,185,185,0,0,0,0,0
100_1,181_1,100_1-181_1,5,4,0,20,20,0,0,0,0,0
100_1,181_2,100_1-181_2,5,2,0,10,10,0,0,0,0,0
100_1,181_3,100_1-181_3,5,31,0,155,155,0,0,0,0,0
100_1,182_1,100_1-182_1,5,4,0,20,20,0,0,0,0,0
