category,category_name,species_pair_name,species_pair,COG24_FUNCTION_ID,COG24_FUNCTION_NAME,n_row,n_individual,n_genome_pair,n_row_ibd0,n_individual_ibd0,n_genome_pair_ibd0,n_row_ibd1,n_individual_ibd1,n_genome_pair_ibd1,total_row,total_individual,total_genome_pair,total_row_ibd0,total_individual_ibd0,total_genome_pair_ibd0,total_row_ibd1,total_individual_ibd1,total_genome_pair_ibd1,prop_row,prop_individual,prop_genome_pair,prop_row_ibd0,prop_individual_ibd0,prop_genome_pair_ibd0,prop_row_ibd1,prop_individual_ibd1,prop_genome_pair_ibd1,ibd1_positive,ibd1_negative,ibd0_positive,ibd0_negative,fisher_or,fisher_p,fisher_or_haldane,log2_or_haldane,neglog10_p,fisher_q_bh,fisher_sig_bh,direction,label,target_category
C,Energy production and conversion,Bacteroides_ovatus | Phocaeicola_vulgatus,44_3-46_1,COG1853,"FMN reductase RutF, DIM6/NTAB family (RutF) (PDB:1EJE)",10,1,10,0,0,0,10,1,10,320,83,320,261.0,76.0,261.0,59.0,7.0,59.0,0.03125,0.0120481927710843,0.03125,0.0,0.0,0.0,0.1694915254237288,0.1428571428571428,0.1694915254237288,10,49,0,261,inf,2.3340227358541548e-08,110.93939393939394,6.793627938946092,7.631894917781691,3.454353649064149e-07,True,IBD_enriched,Bacteroides_ovatus | Phocaeicola_vulgatus | COG1853,C
C,Energy production and conversion,Phocaeicola_vulgatus | Bacteroides_uniformis,46_1-48_2,COG1853,"FMN reductase RutF, DIM6/NTAB family (RutF) (PDB:1EJE)",12,2,12,0,0,0,12,2,12,900,161,900,836.0,153.0,836.0,64.0,8.0,64.0,0.0133333333333333,0.0124223602484472,0.0133333333333333,0.0,0.0,0.0,0.1875,0.25,0.1875,12,52,0,836,inf,5.9957452982385774e-15,398.3333333333333,8.637832402146955,14.222156824442669,4.4368515206965474e-13,True,IBD_enriched,Phocaeicola_vulgatus | Bacteroides_uniformis | COG1853,C
C,Energy production and conversion,Bacteroides_fragilis | Parabacteroides_distasonis,32_1-45_1,COG2764,"Zn-dependent glyoxalase, PhnB family (PhnB) (PDB:5KEF) (PUBMED:28034013)",16,1,16,0,0,0,16,1,16,1375,66,1375,693.0,55.0,693.0,682.0,11.0,682.0,0.0116363636363636,0.0151515151515151,0.0116363636363636,0.0,0.0,0.0,0.0234604105571847,0.0909090909090909,0.0234604105571847,16,666,0,693,inf,1.226735959966846e-05,34.33683420855214,5.101685126593083,4.911248903833142,0.0001134730762969,True,IBD_enriched,Bacteroides_fragilis | Parabacteroides_distasonis | COG2764,C
C,Energy production and conversion,Bacteroides_fragilis | Phocaeicola_vulgatus,32_1-46_1,COG2764,"Zn-dependent glyoxalase, PhnB family (PhnB) (PDB:5KEF) (PUBMED:28034013)",17,1,17,0,0,0,17,1,17,258,36,258,142.0,32.0,142.0,116.0,4.0,116.0,0.065891472868217,0.0277777777777777,0.065891472868217,0.0,0.0,0.0,0.146551724137931,0.25,0.146551724137931,17,99,0,142,inf,6.26660027860829e-07,50.12562814070352,5.6474765054534215,6.202968006326217,6.624691723100192e-06,True,IBD_enriched,Bacteroides_fragilis | Phocaeicola_vulgatus | COG2764,C
C,Energy production and conversion,Bacteroides_ovatus | Bacteroides_uniformis,44_3-48_2,COG2764,"Zn-dependent glyoxalase, PhnB family (PhnB) (PDB:5KEF) (PUBMED:28034013)",31,2,31,0,0,0,31,2,31,709,108,709,362.0,94.0,362.0,347.0,14.0,347.0,0.0437235543018335,0.0185185185185185,0.0437235543018335,0.0,0.0,0.0,0.0893371757925072,0.1428571428571428,0.0893371757925072,31,316,0,362,inf,1.1731846438892934e-10,72.1563981042654,6.173055418973872,9.930633630244664,2.170391591195193e-09,True,IBD_enriched,Bacteroides_ovatus | Bacteroides_uniformis | COG2764,C
C,Energy production and conversion,Bacteroides_ovatus | Parabacteroides_distasonis,44_3-45_1,COG2764,"Zn-dependent glyoxalase, PhnB family (PhnB) (PDB:5KEF) (PUBMED:28034013)",30,1,30,0,0,0,30,1,30,1627,119,1627,877.0,102.0,877.0,750.0,17.0,750.0,0.018438844499078,0.0084033613445378,0.018438844499078,0.0,0.0,0.0,0.04,0.0588235294117647,0.04,30,720,0,877,inf,5.912539163944536e-11,74.29215822345593,6.215138032580062,10.228225969530468,1.4584263271063186e-09,True,IBD_enriched,Bacteroides_ovatus | Parabacteroides_distasonis | COG2764,C
C,Energy production and conversion,Bacteroides_xylanisolvens | Phocaeicola_vulgatus,44_1-46_1,COG2764,"Zn-dependent glyoxalase, PhnB family (PhnB) (PDB:5KEF) (PUBMED:28034013)",15,1,15,0,0,0,15,1,15,132,48,132,85.0,42.0,85.0,47.0,6.0,47.0,0.1136363636363636,0.0208333333333333,0.1136363636363636,0.0,0.0,0.0,0.3191489361702128,0.1666666666666666,0.3191489361702128,15,32,0,85,inf,3.489322035799088e-08,81.55384615384615,6.349681012244319,7.457258946884239,4.303497177485541e-07,True,IBD_enriched,Bacteroides_xylanisolvens | Phocaeicola_vulgatus | COG2764,C
H,Coenzyme transport and metabolism,Bacteroides_nordii | Bacteroides_uniformis,37_1-48_2,COG0294,Dihydropteroate synthase (FolP) (PDB:1AD1),16,1,16,0,0,0,16,1,16,69,17,69,34.0,14.0,34.0,35.0,3.0,35.0,0.2318840579710145,0.0588235294117647,0.2318840579710145,0.0,0.0,0.0,0.4571428571428571,0.3333333333333333,0.4571428571428571,16,19,0,34,inf,3.2740175928244013e-06,58.38461538461539,5.867516357274374,5.484918991250885,3.2817424121771944e-05,True,IBD_enriched,Bacteroides_nordii | Bacteroides_uniformis | COG0294,H
H,Coenzyme transport and metabolism,Bacteroides_nordii | Parabacteroides_distasonis,37_1-45_1,COG0294,Dihydropteroate synthase (FolP) (PDB:1AD1),22,1,22,0,0,0,22,1,22,235,20,235,193.0,17.0,193.0,42.0,3.0,42.0,0.0936170212765957,0.05,0.0936170212765957,0.0,0.0,0.0,0.5238095238095238,0.3333333333333333,0.5238095238095238,22,20,0,193,inf,1.0929791468531566e-19,424.7560975609756,8.730490847856002,18.96138812395423,2.4774193995338214e-18,True,IBD_enriched,Bacteroides_nordii | Parabacteroides_distasonis | COG0294,H
H,Coenzyme transport and metabolism,Bacteroides_caccae | Bacteroides_uniformis,43_1-48_2,COG0294,Dihydropteroate synthase (FolP) (PDB:1AD1),48,1,48,0,0,0,48,1,48,326,64,326,227.0,61.0,227.0,99.0,3.0,99.0,0.147239263803681,0.015625,0.147239263803681,0.0,0.0,0.0,0.4848484848484848,0.3333333333333333,0.4848484848484848,48,51,0,227,inf,5.3265026412177234e-30,428.495145631068,8.743135050089968,29.273557853291912,1.811010898014026e-28,True,IBD_enriched,Bacteroides_caccae | Bacteroides_uniformis | COG0294,H
H,Coenzyme transport and metabolism,Parabacteroides_distasonis | Bacteroides_uniformis,45_1-48_2,COG0294,Dihydropteroate synthase (FolP) (PDB:1AD1),445,1,445,0,0,0,445,1,445,4641,222,4641,2014.0,202.0,2014.0,2627.0,20.0,2627.0,0.0958845076492135,0.0045045045045045,0.0958845076492135,0.0,0.0,0.0,0.1693947468595356,0.05,0.1693947468595356,445,2182,0,2014,inf,3.46402125364665e-118,822.4144329896907,9.683721773153716,117.46041945201463,7.066603357439167e-116,True,IBD_enriched,Parabacteroides_distasonis | Bacteroides_uniformis | COG0294,H
H,Coenzyme transport and metabolism,Bacteroides_caccae | Parabacteroides_distasonis,43_1-45_1,COG0294,Dihydropteroate synthase (FolP) (PDB:1AD1),69,1,69,0,0,0,69,1,69,616,66,616,475.0,63.0,475.0,141.0,3.0,141.0,0.112012987012987,0.0151515151515151,0.112012987012987,0.0,0.0,0.0,0.4893617021276595,0.3333333333333333,0.4893617021276595,69,72,0,475,inf,5.360582708729254e-52,911.648275862069,9.832333513569136,51.27078799884629,3.645196241935893e-50,True,IBD_enriched,Bacteroides_caccae | Parabacteroides_distasonis | COG0294,H
H,Coenzyme transport and metabolism,Bacteroides_thetaiotaomicron | Bacteroides_uniformis,42_2-48_2,COG0156,7-keto-8-aminopelargonate synthetase or related enzyme (BioF) (PDB:1BS0),11,2,11,3,1,3,8,1,8,417,98,417,289.0,90.0,289.0,128.0,8.0,128.0,0.026378896882494,0.0204081632653061,0.026378896882494,0.0103806228373702,0.0111111111111111,0.0103806228373702,0.0625,0.125,0.0625,8,120,3,286,6.355555555555555,0.004507015435171,5.774155305275637,2.529609911719678,2.34611095459862,0.0262694613935682,True,IBD_enriched,Bacteroides_thetaiotaomicron | Bacteroides_uniformis | COG0156,H
H,Coenzyme transport and metabolism,Bacteroides_thetaiotaomicron | Bacteroides_xylanisolvens,42_2-44_1,COG0156,7-keto-8-aminopelargonate synthetase or related enzyme (BioF) (PDB:1BS0),13,1,13,0,0,0,13,1,13,69,17,69,30.0,12.0,30.0,39.0,5.0,39.0,0.1884057971014492,0.0588235294117647,0.1884057971014492,0.0,0.0,0.0,0.3333333333333333,0.2,0.3333333333333333,13,26,0,30,inf,0.0003005225164771,31.07547169811321,4.957704385163155,3.5221229831772987,0.0021895211914762,True,IBD_enriched,Bacteroides_thetaiotaomicron | Bacteroides_xylanisolvens | COG0156,H
H,Coenzyme transport and metabolism,Bacteroides_xylanisolvens | Bacteroides_uniformis,44_1-48_2,COG0156,7-keto-8-aminopelargonate synthetase or related enzyme (BioF) (PDB:1BS0),116,1,116,0,0,0,116,1,116,402,52,402,189.0,43.0,189.0,213.0,9.0,213.0,0.2885572139303483,0.0192307692307692,0.2885572139303483,0.0,0.0,0.0,0.5446009389671361,0.1111111111111111,0.5446009389671361,116,97,0,189,inf,1.3137640060542412e-41,452.85641025641024,8.822909869075762,40.88148264092021,6.7001964308766305e-40,True,IBD_enriched,Bacteroides_xylanisolvens | Bacteroides_uniformis | COG0156,H
H,Coenzyme transport and metabolism,Bacteroides_ovatus | Bacteroides_uniformis,44_3-48_2,COG4206,Outer membrane cobalamin receptor protein BtuB (BtuB) (PDB:1NQE),59,3,59,3,2,3,56,1,56,709,108,709,362.0,94.0,362.0,347.0,14.0,347.0,0.083215796897038,0.0277777777777777,0.083215796897038,0.0082872928176795,0.0212765957446808,0.0082872928176795,0.1613832853025936,0.0714285714285714,0.1613832853025936,56,291,3,359,23.028636884306987,3.147342450418828e-15,19.90860083312913,4.315319927596385,14.50205600057713,5.3504821657120076e-14,True,IBD_enriched,Bacteroides_ovatus | Bacteroides_uniformis | COG4206,H
H,Coenzyme transport and metabolism,Bacteroides_thetaiotaomicron | Bacteroides_ovatus,42_2-44_3,COG4206,Outer membrane cobalamin receptor protein BtuB (BtuB) (PDB:1NQE),10,1,10,0,0,0,10,1,10,182,61,182,139.0,56.0,139.0,43.0,5.0,43.0,0.0549450549450549,0.0163934426229508,0.0549450549450549,0.0,0.0,0.0,0.2325581395348837,0.2,0.2325581395348837,10,33,0,139,inf,2.24412037260355e-07,87.44776119402985,6.450349544150176,6.648953851624691,2.69294444712426e-06,True,IBD_enriched,Bacteroides_thetaiotaomicron | Bacteroides_ovatus | COG4206,H
