category,category_name,species_pair_name,species_pair,COG24_FUNCTION_ID,COG24_FUNCTION_NAME,n_row,n_individual,n_genome_pair,n_row_ibd0,n_individual_ibd0,n_genome_pair_ibd0,n_row_ibd1,n_individual_ibd1,n_genome_pair_ibd1,total_row,total_individual,total_genome_pair,total_row_ibd0,total_individual_ibd0,total_genome_pair_ibd0,total_row_ibd1,total_individual_ibd1,total_genome_pair_ibd1,prop_row,prop_individual,prop_genome_pair,prop_row_ibd0,prop_individual_ibd0,prop_genome_pair_ibd0,prop_row_ibd1,prop_individual_ibd1,prop_genome_pair_ibd1,ibd1_positive,ibd1_negative,ibd0_positive,ibd0_negative,fisher_or,fisher_p,fisher_or_haldane,log2_or_haldane,neglog10_p,fisher_q_bh,fisher_sig_bh,direction,label
H,Coenzyme transport and metabolism,Parabacteroides_distasonis | Bacteroides_uniformis,45_1-48_2,COG0294,Dihydropteroate synthase (FolP) (PDB:1AD1),445,1,445,0,0,0,445,1,445,4641,222,4641,2014.0,202.0,2014.0,2627.0,20.0,2627.0,0.0958845076492135,0.0045045045045045,0.0958845076492135,0.0,0.0,0.0,0.1693947468595356,0.05,0.1693947468595356,445,2182,0,2014,inf,3.4640212536466496e-118,822.4144329896907,9.683721773153717,117.46041945201463,7.066603357439166e-116,True,IBD_enriched,Parabacteroides_distasonis | Bacteroides_uniformis | COG0294
H,Coenzyme transport and metabolism,Parabacteroides_distasonis | Bacteroides_uniformis,45_1-48_2,COG0476,Molybdopterin or thiamine biosynthesis adenylyltransferase (ThiF) (PDB:1ZUD) (PUBMED:32239579),1331,24,1331,294,19,294,1037,5,1037,4641,222,4641,2014.0,202.0,2014.0,2627.0,20.0,2627.0,0.2867916397328162,0.1081081081081081,0.2867916397328162,0.1459781529294935,0.094059405940594,0.1459781529294935,0.3947468595355919,0.25,0.3947468595355919,1037,1590,294,1720,3.815599195653104,7.455922330672644e-81,3.810867155313622,1.9301193174886566,80.12749862473348,7.605040777286097e-79,True,IBD_enriched,Parabacteroides_distasonis | Bacteroides_uniformis | COG0476
H,Coenzyme transport and metabolism,Bacteroides_caccae | Parabacteroides_distasonis,43_1-45_1,COG0294,Dihydropteroate synthase (FolP) (PDB:1AD1),69,1,69,0,0,0,69,1,69,616,66,616,475.0,63.0,475.0,141.0,3.0,141.0,0.112012987012987,0.0151515151515151,0.112012987012987,0.0,0.0,0.0,0.4893617021276595,0.3333333333333333,0.4893617021276595,69,72,0,475,inf,5.360582708729254e-52,911.648275862069,9.832333513569136,51.27078799884629,3.645196241935893e-50,True,IBD_enriched,Bacteroides_caccae | Parabacteroides_distasonis | COG0294
H,Coenzyme transport and metabolism,Bacteroides_xylanisolvens | Bacteroides_uniformis,44_1-48_2,COG0156,7-keto-8-aminopelargonate synthetase or related enzyme (BioF) (PDB:1BS0),116,1,116,0,0,0,116,1,116,402,52,402,189.0,43.0,189.0,213.0,9.0,213.0,0.2885572139303483,0.0192307692307692,0.2885572139303483,0.0,0.0,0.0,0.5446009389671361,0.1111111111111111,0.5446009389671361,116,97,0,189,inf,1.3137640060542412e-41,452.85641025641024,8.822909869075762,40.881482640920204,6.7001964308766305e-40,True,IBD_enriched,Bacteroides_xylanisolvens | Bacteroides_uniformis | COG0156
H,Coenzyme transport and metabolism,Bacteroides_nordii | Parabacteroides_distasonis,37_1-45_1,COG0476,Molybdopterin or thiamine biosynthesis adenylyltransferase (ThiF) (PDB:1ZUD) (PUBMED:32239579),32,1,32,0,0,0,32,1,32,235,20,235,193.0,17.0,193.0,42.0,3.0,42.0,0.1361702127659574,0.05,0.1361702127659574,0.0,0.0,0.0,0.7619047619047619,0.3333333333333333,0.7619047619047619,32,10,0,193,inf,4.724164701296364e-31,1197.857142857143,10.226240146394105,30.32567496973395,1.9274591981289167e-29,True,IBD_enriched,Bacteroides_nordii | Parabacteroides_distasonis | COG0476
H,Coenzyme transport and metabolism,Bacteroides_caccae | Bacteroides_uniformis,43_1-48_2,COG0294,Dihydropteroate synthase (FolP) (PDB:1AD1),48,1,48,0,0,0,48,1,48,326,64,326,227.0,61.0,227.0,99.0,3.0,99.0,0.147239263803681,0.015625,0.147239263803681,0.0,0.0,0.0,0.4848484848484848,0.3333333333333333,0.4848484848484848,48,51,0,227,inf,5.3265026412177234e-30,428.49514563106794,8.743135050089968,29.273557853291912,1.811010898014026e-28,True,IBD_enriched,Bacteroides_caccae | Bacteroides_uniformis | COG0294
H,Coenzyme transport and metabolism,Bacteroides_fragilis | Parabacteroides_distasonis,32_1-45_1,COG0262,Dihydrofolate reductase (FolA) (PDB:1DDR),75,2,75,75,2,75,0,0,0,1375,66,1375,693.0,55.0,693.0,682.0,11.0,682.0,0.0545454545454545,0.0303030303030303,0.0545454545454545,0.1082251082251082,0.0363636363636363,0.1082251082251082,0.0,0.0,0.0,0,682,75,618,0.0,7.544164639028029e-24,0.006001504014749048,-7.380460190155924,23.122388842402067,2.1985851233738827e-22,True,nonIBD_enriched,Bacteroides_fragilis | Parabacteroides_distasonis | COG0262
H,Coenzyme transport and metabolism,Bacteroides_caccae | Bacteroides_uniformis,43_1-48_2,COG0476,Molybdopterin or thiamine biosynthesis adenylyltransferase (ThiF) (PDB:1ZUD) (PUBMED:32239579),123,2,123,48,1,48,75,1,75,326,64,326,227.0,61.0,227.0,99.0,3.0,99.0,0.3773006134969325,0.03125,0.3773006134969325,0.211453744493392,0.0163934426229508,0.211453744493392,0.7575757575757576,0.3333333333333333,0.7575757575757576,75,24,48,179,11.653645833333334,1.4177032144271856e-20,11.405217757205975,3.511622086845794,19.848414675942067,3.6151431967893233e-19,True,IBD_enriched,Bacteroides_caccae | Bacteroides_uniformis | COG0476
H,Coenzyme transport and metabolism,Bacteroides_nordii | Parabacteroides_distasonis,37_1-45_1,COG0294,Dihydropteroate synthase (FolP) (PDB:1AD1),22,1,22,0,0,0,22,1,22,235,20,235,193.0,17.0,193.0,42.0,3.0,42.0,0.0936170212765957,0.05,0.0936170212765957,0.0,0.0,0.0,0.5238095238095238,0.3333333333333333,0.5238095238095238,22,20,0,193,inf,1.0929791468531566e-19,424.7560975609756,8.730490847856002,18.96138812395423,2.4774193995338214e-18,True,IBD_enriched,Bacteroides_nordii | Parabacteroides_distasonis | COG0294
H,Coenzyme transport and metabolism,Parabacteroides_distasonis | Phocaeicola_vulgatus,45_1-46_1,COG0262,Dihydrofolate reductase (FolA) (PDB:1DDR),119,8,119,118,7,118,1,1,1,2990,168,2990,2093.0,155.0,2093.0,897.0,13.0,897.0,0.0397993311036789,0.0476190476190476,0.0397993311036789,0.0563784042044911,0.0451612903225806,0.0563784042044911,0.0011148272017837,0.0769230769230769,0.0011148272017837,1,896,118,1975,0.018680009079903147,9.581038394925742e-18,0.027893284008838875,-5.163938390067807,17.0185874194447,1.9545318325648514e-16,True,nonIBD_enriched,Parabacteroides_distasonis | Phocaeicola_vulgatus | COG0262
H,Coenzyme transport and metabolism,Parabacteroides_distasonis | Bacteroides_uniformis,45_1-48_2,COG0262,Dihydrofolate reductase (FolA) (PDB:1DDR),41,10,41,41,10,41,0,0,0,4641,222,4641,2014.0,202.0,2014.0,2627.0,20.0,2627.0,0.00883430295195,0.045045045045045,0.00883430295195,0.0203574975173783,0.0495049504950495,0.0203574975173783,0.0,0.0,0.0,0,2627,41,1973,0.0,1.0821849263463655e-15,0.009049327662696456,-6.787973676303362,14.965698519608933,2.0069611361332595e-14,True,nonIBD_enriched,Parabacteroides_distasonis | Bacteroides_uniformis | COG0262
