variant	af	lrt-pvalue	beta	notes	fdr	log10p
group_13115	1.19E-01	9.69E-08	5.32E+00		0.000186326	7.013676
group_13116	1.19E-01	9.69E-08	5.32E+00		0.000186326	7.013676
Putative N-acetylmannosaminyltransferase	8.25E-01	1.31E-07	-6.41E+00		0.000186326	6.882729
group_904	2.30E-01	4.18E-07	4.34E+00		0.000445902	6.378824
group_14113	1.43E-01	3.05E-06	5.43E+00		0.00168013	5.515700
Coiled-coil domain-containing protein 167	1.19E-01	3.15E-06	4.26E+00		0.00168013	5.501689
Nif11 domain-containing protein	1.19E-01	3.15E-06	4.26E+00		0.00168013	5.501689
group_9802	1.19E-01	3.15E-06	4.26E+00		0.00168013	5.501689
group_9800	1.27E-01	3.81E-06	4.19E+00		0.00180636	5.419075
group_1145	7.14E-02	1.10E-05	6.75E+00		0.00355583	4.958607
group_15991	9.52E-02	1.10E-05	6.74E+00		0.00355583	4.958607
group_15997	9.52E-02	1.10E-05	6.74E+00		0.00355583	4.958607
group_10982	1.11E-01	1.14E-05	5.23E+00		0.00355583	4.943095
group_1017	1.59E-01	1.19E-05	3.55E+00		0.00355583	4.924453
group_6615	7.94E-02	1.25E-05	5.48E+00		0.00355583	4.903090
group_887	1.19E-01	1.65E-05	3.66E+00		0.00440034	4.782516
group_4366	1.35E-01	1.96E-05	3.58E+00		0.00490705	4.707744
DUF5680 domain-containing protein	1.27E-01	2.25E-05	5.10E+00		0.00490705	4.647817
group_6384	1.51E-01	2.30E-05	3.54E+00		0.00490705	4.638272
group_4365	1.51E-01	2.30E-05	3.54E+00		0.00490705	4.638272
Bacteriophage CI repressor	1.27E-01	2.69E-05	4.93E+00		0.00510855	4.570248
group_2671	7.14E-02	2.78E-05	4.72E+00		0.00510855	4.555955
Ropporin-1-like protein	1.35E-01	3.02E-05	4.97E+00		0.00510855	4.519993
group_2203	4.29E-01	3.38E-05	-2.65E+00		0.00510855	4.471083
group_3800	1.11E-01	3.92E-05	5.89E+00		0.00510855	4.406714
group_22212	9.52E-02	3.92E-05	5.89E+00		0.00510855	4.406714
group_3704	1.19E-01	3.94E-05	3.42E+00		0.00510855	4.404504
group_10507	1.11E-01	3.95E-05	6.62E+00		0.00510855	4.403403
group_10508	1.11E-01	3.95E-05	6.62E+00		0.00510855	4.403403
group_10509	1.11E-01	3.95E-05	6.62E+00		0.00510855	4.403403
N6-Mtase domain-containing protein	1.11E-01	3.95E-05	6.62E+00		0.00510855	4.403403
group_15111	1.11E-01	3.95E-05	6.62E+00		0.00510855	4.403403
group_6592	2.70E-01	4.06E-05	3.23E+00		0.00510855	4.391474
group_10998	1.59E-01	4.31E-05	5.20E+00		0.00510855	4.365523
group_16826	1.59E-01	4.31E-05	5.20E+00		0.00510855	4.365523
group_10999	1.59E-01	4.31E-05	5.20E+00		0.00510855	4.365523
group_2205	1.83E-01	4.93E-05	3.24E+00		0.00568549	4.307153
group_5430	2.54E-01	5.74E-05	3.56E+00		0.00644542	4.241088
group_1068	1.27E-01	6.15E-05	4.39E+00		0.00672873	4.211125
DHHA1 domain-containing protein	7.14E-02	7.11E-05	5.62E+00		0.00758459	4.148130
group_3568	3.10E-01	8.92E-05	2.39E+00		0.00891108	4.049635
group_15681	8.73E-02	8.98E-05	5.28E+00		0.00891108	4.046724
group_15682	8.73E-02	8.98E-05	5.28E+00		0.00891108	4.046724
group_2915	2.22E-01	1.08E-04	3.06E+00		0.0104735	3.966576
Bacterial sugar transferase family protein	2.94E-01	1.14E-04	-7.58E+00		0.0105313	3.943095
group_6867	1.51E-01	1.14E-04	3.67E+00		0.0105313	3.943095
group_6231	8.73E-02	1.16E-04	4.57E+00		0.0105313	3.935542
group_10714	9.52E-02	1.24E-04	4.96E+00		0.0107981	3.906578
group_15711	9.52E-02	1.24E-04	4.96E+00		0.0107981	3.906578
group_4192	9.52E-02	1.39E-04	4.37E+00		0.0117616	3.856985
Excisionase family DNA binding domain-containing protein	8.73E-02	1.45E-04	4.45E+00		0.0117616	3.838632
group_1953	5.63E-01	1.46E-04	-2.79E+00		0.0117616	3.835647
group_13632	2.78E-01	1.65E-04	-4.27E+00		0.0117616	3.782516
group_20126	1.27E-01	1.79E-04	3.00E+00		0.0117616	3.747147
group_3815	1.03E-01	1.87E-04	4.30E+00		0.0117616	3.728158
group_2380	8.10E-01	1.88E-04	-4.00E+00		0.0117616	3.725842
Fibronectin type III domain protein	2.86E-01	1.95E-04	-4.28E+00		0.0117616	3.709965
Nuclear transport factor 2 family protein	2.86E-01	1.95E-04	-4.28E+00		0.0117616	3.709965
group_13633	2.86E-01	1.95E-04	-4.28E+00		0.0117616	3.709965
group_10008	2.78E-01	1.96E-04	-4.28E+00		0.0117616	3.707744
group_13634	2.78E-01	1.96E-04	-4.28E+00		0.0117616	3.707744
group_10310	1.67E-01	2.02E-04	4.11E+00		0.0117616	3.694649
fbpA	1.67E-01	2.02E-04	4.11E+00		0.0117616	3.694649
