variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	PC1	PC2	PC3	PC4	PC5	PC6	age	bmi	sex_0	notes
group_12511	9.84E-01	5.18E-01	1.00E+00	-1.71E+00	4.31E+00	2.06E+00	-2.40E+00	3.61E-01	-1.39E+00	2.80E-01	1.87E+00	-3.06E+00	-6.59E-02	5.25E-02	3.46E-01	bad-chisq
mntP	9.84E-01	5.18E-01	1.00E+00	-2.46E+00	4.31E+00	2.83E+00	-2.31E+00	2.62E-01	-1.43E+00	1.86E-01	1.91E+00	-3.01E+00	-6.73E-02	5.46E-02	3.25E-01	bad-chisq
L-selectin	9.84E-01	5.18E-01	1.00E+00	-1.96E+00	4.31E+00	2.18E+00	-2.41E+00	1.75E-01	-1.39E+00	2.32E-01	1.85E+00	-2.90E+00	-6.50E-02	5.62E-02	3.67E-01	bad-chisq
group_12879	9.84E-01	5.18E-01	1.00E+00	-1.70E+00	4.31E+00	2.05E+00	-2.40E+00	3.62E-01	-1.39E+00	2.81E-01	1.87E+00	-3.07E+00	-6.59E-02	5.25E-02	3.46E-01	bad-chisq
proA	9.84E-01	2.70E-02	1.00E+00	-1.37E+00	4.27E+00	1.70E+00	-2.43E+00	4.27E-01	-1.38E+00	2.94E-01	1.94E+00	-3.27E+00	-6.56E-02	5.06E-02	3.94E-01	bad-chisq
group_3047	9.84E-01	5.18E-01	1.00E+00	-2.47E+00	4.31E+00	2.85E+00	-2.31E+00	2.57E-01	-1.43E+00	1.78E-01	1.92E+00	-2.98E+00	-6.74E-02	5.47E-02	3.28E-01	bad-chisq
group_3160	9.84E-01	5.18E-01	1.00E+00	-1.70E+00	4.31E+00	2.05E+00	-2.39E+00	3.60E-01	-1.39E+00	2.79E-01	1.87E+00	-3.06E+00	-6.59E-02	5.25E-02	3.47E-01	bad-chisq
"Kelch motif family protein"	9.84E-01	3.58E-01	1.00E+00	-2.25E+00	4.31E+00	2.61E+00	-2.41E+00	2.81E-01	-1.47E+00	2.28E-01	1.97E+00	-3.07E+00	-6.76E-02	5.49E-02	3.66E-01	bad-chisq
dnaB	9.84E-01	5.18E-01	1.00E+00	-1.75E+00	4.31E+00	2.10E+00	-2.40E+00	3.67E-01	-1.39E+00	2.79E-01	1.88E+00	-3.10E+00	-6.59E-02	5.23E-02	3.53E-01	bad-chisq
pncB	9.84E-01	5.18E-01	1.00E+00	-1.66E+00	4.31E+00	2.01E+00	-2.39E+00	3.59E-01	-1.38E+00	2.79E-01	1.86E+00	-3.03E+00	-6.59E-02	5.27E-02	3.40E-01	bad-chisq
sbcD	9.84E-01	2.70E-02	1.00E+00	-8.38E-01	4.28E+00	1.19E+00	-2.34E+00	3.24E-01	-1.41E+00	2.06E-01	1.95E+00	-3.13E+00	-6.68E-02	5.30E-02	3.56E-01	bad-chisq
"Putative exported methylamine utilization protein"	9.84E-01	5.18E-01	1.00E+00	-2.46E+00	4.31E+00	2.83E+00	-2.31E+00	2.56E-01	-1.42E+00	1.76E-01	1.92E+00	-2.98E+00	-6.74E-02	5.47E-02	3.27E-01	bad-chisq
"Por-Secre-tail domain-containing protein"	9.84E-01	5.18E-01	1.00E+00	-1.96E+00	4.31E+00	2.18E+00	-2.41E+00	1.75E-01	-1.39E+00	2.32E-01	1.85E+00	-2.90E+00	-6.50E-02	5.62E-02	3.67E-01	bad-chisq
"Methyltransf-11 domain-containing protein"	9.84E-01	5.18E-01	1.00E+00	-1.66E+00	4.31E+00	2.01E+00	-2.39E+00	3.59E-01	-1.38E+00	2.79E-01	1.86E+00	-3.03E+00	-6.59E-02	5.27E-02	3.40E-01	bad-chisq
group_7102	9.84E-01	5.18E-01	1.00E+00	-2.47E+00	4.31E+00	2.85E+00	-2.31E+00	2.57E-01	-1.43E+00	1.78E-01	1.92E+00	-2.98E+00	-6.74E-02	5.47E-02	3.28E-01	bad-chisq
"Sirohydrochlorin cobaltochelatase"	9.84E-01	5.18E-01	1.00E+00	-1.70E+00	4.31E+00	2.05E+00	-2.40E+00	3.62E-01	-1.39E+00	2.81E-01	1.87E+00	-3.07E+00	-6.59E-02	5.25E-02	3.46E-01	bad-chisq
"TIGR02206 family protein"	9.84E-01	5.18E-01	1.00E+00	-1.74E+00	4.31E+00	2.09E+00	-2.40E+00	3.62E-01	-1.39E+00	2.81E-01	1.88E+00	-3.10E+00	-6.59E-02	5.24E-02	3.51E-01	bad-chisq
"Aamy domain-containing protein"	9.84E-01	5.18E-01	1.00E+00	-2.50E+00	4.31E+00	2.87E+00	-2.31E+00	2.58E-01	-1.43E+00	1.78E-01	1.93E+00	-2.99E+00	-6.74E-02	5.46E-02	3.32E-01	bad-chisq
atpF	9.84E-01	2.70E-02	1.00E+00	-5.25E-01	4.29E+00	9.03E-01	-2.26E+00	2.47E-01	-1.42E+00	1.33E-01	1.96E+00	-3.04E+00	-6.77E-02	5.45E-02	3.31E-01	bad-chisq
"DUF4494 domain-containing protein"	9.84E-01	5.18E-01	1.00E+00	-2.47E+00	4.31E+00	2.85E+00	-2.31E+00	2.57E-01	-1.43E+00	1.78E-01	1.92E+00	-2.98E+00	-6.74E-02	5.47E-02	3.28E-01	bad-chisq
"4Fe-4S binding domain protein"	9.84E-01	5.18E-01	1.00E+00	-2.47E+00	4.31E+00	2.85E+00	-2.31E+00	2.57E-01	-1.43E+00	1.78E-01	1.92E+00	-2.98E+00	-6.74E-02	5.47E-02	3.28E-01	bad-chisq
"Long-chain fatty acid transport protein"	9.84E-01	2.70E-02	1.00E+00	-7.48E-01	4.29E+00	1.11E+00	-2.34E+00	3.16E-01	-1.40E+00	1.97E-01	1.95E+00	-3.09E+00	-6.69E-02	5.31E-02	3.57E-01	bad-chisq
group_12711	9.84E-01	3.58E-01	1.00E+00	3.66E-01	4.30E+00	-2.44E-02	-2.40E+00	2.74E-01	-1.41E+00	3.06E-01	2.08E+00	-3.07E+00	-6.74E-02	5.62E-02	3.46E-01	bad-chisq
"Antibiotic biosynthesis monooxygenase"	9.84E-01	3.58E-01	1.00E+00	-5.34E-01	4.31E+00	9.05E-01	-2.40E+00	2.78E-01	-1.45E+00	2.44E-01	1.92E+00	-3.07E+00	-6.71E-02	5.46E-02	3.43E-01	bad-chisq
group_13000	9.84E-01	2.70E-02	1.00E+00	-1.30E+00	4.27E+00	1.63E+00	-2.42E+00	4.20E-01	-1.37E+00	2.88E-01	1.93E+00	-3.21E+00	-6.57E-02	5.09E-02	3.87E-01	bad-chisq
