group	group_annotation	lrt_pvalue	fdr	log10p	beta	af	genome	gene_id	contig	start	end	strand	gene_name	product	row_num	hgt_side	hgt_mag	hgt_contig	hgt_start	hgt_end	overlap_bp	gene_overlap_fraction	hgt_overlap_fraction	MAG_1	MAG_2	Sequence_query	Sequence_subject	species_pair	individual_1	individual_2	Person	within_cohort	Identity	Length	plasmid1	plamids2	plasmid
group_6384	Lipocalin-like domain-containing protein	2.30E-05	0.00490705	4.638272	3.54E+00	1.51E-01	AR-005_B01.unicycler	ILOMFK_13930	6	215675	216088	+		Lipocalin-like domain-containing protein	915	MAG_1	AR-005_B01	6	214216	217353	414	1.000000	0.131931	AR-005_B01	BP2_3_B11_OPE-019_G01	AR-005_B01_6_214216_217353	BP2_3_B11_OPE-019_G01_92_10752_13889	32_1-42_2	102	102	within	US	100.0	3138	0	0	0
group_6384	Lipocalin-like domain-containing protein	2.30E-05	0.00490705	4.638272	3.54E+00	1.51E-01	BP2_3_B11_OPE-019_B02.unicycler	NLCJNO_13840	6	243522	243935	-		Lipocalin-like domain-containing protein	19564	MAG_1	BP2_3_B11_OPE-019_B02	6	242257	245394	414	1.000000	0.131931	BP2_3_B11_OPE-019_B02	BP2_3_B11_OPE-019_G01	BP2_3_B11_OPE-019_B02_6_242257_245394	BP2_3_B11_OPE-019_G01_92_13889_10752	32_1-42_2	102	102	within	US	100.0	3138	0	0	0
group_6384	Lipocalin-like domain-containing protein	2.30E-05	0.00490705	4.638272	3.54E+00	1.51E-01	BP2_3_B11_OPE-019_F01.unicycler	PJPFPN_08950	4	239331	239744	-		Lipocalin-like domain-containing protein	19987	MAG_1	BP2_3_B11_OPE-019_F01	4	238066	241203	414	1.000000	0.131931	BP2_3_B11_OPE-019_F01	BP2_3_B11_OPE-019_G01	BP2_3_B11_OPE-019_F01_4_238066_241203	BP2_3_B11_OPE-019_G01_92_13889_10752	32_1-42_2	102	102	within	US	100.0	3138	0	0	0
group_6384	Lipocalin-like domain-containing protein	2.30E-05	0.00490705	4.638272	3.54E+00	1.51E-01	BP2_3_B11_OPE-019_H02.unicycler	NLONBI_10515	5	243522	243935	-		Lipocalin-like domain-containing protein	20167	MAG_2	BP2_3_B11_OPE-019_H02	5	242257	245394	414	1.000000	0.131931	BP2_3_B11_OPE-019_G01	BP2_3_B11_OPE-019_H02	BP2_3_B11_OPE-019_G01_92_10752_13889	BP2_3_B11_OPE-019_H02_5_245394_242257	32_1-42_2	102	102	within	US	100.0	3138	0	0	0
group_6384	Lipocalin-like domain-containing protein	2.30E-05	0.00490705	4.638272	3.54E+00	1.51E-01	BP2_3_B2_OPE-020_B11.unicycler	GANMJO_08050	4	215675	216088	+		Lipocalin-like domain-containing protein	20126	MAG_2	BP2_3_B2_OPE-020_B11	4	214216	217353	414	1.000000	0.131931	BP2_3_B11_OPE-019_G01	BP2_3_B2_OPE-020_B11	BP2_3_B11_OPE-019_G01_92_10752_13889	BP2_3_B2_OPE-020_B11_4_214216_217353	32_1-42_2	102	102	within	US	100.0	3138	0	0	0
group_6384	Lipocalin-like domain-containing protein	2.30E-05	0.00490705	4.638272	3.54E+00	1.51E-01	BP2_3_B2_OPE-020_F12.unicycler	JNFKFK_12820	6	215675	216088	+		Lipocalin-like domain-containing protein	20150	MAG_2	BP2_3_B2_OPE-020_F12	6	214216	217353	414	1.000000	0.131931	BP2_3_B11_OPE-019_G01	BP2_3_B2_OPE-020_F12	BP2_3_B11_OPE-019_G01_92_10752_13889	BP2_3_B2_OPE-020_F12_6_214216_217353	32_1-42_2	102	102	within	US	100.0	3138	0	0	0
group_6384	Lipocalin-like domain-containing protein	2.30E-05	0.00490705	4.638272	3.54E+00	1.51E-01	BP2_3_B2_OPE-020_H12.unicycler	JNGIKL_04525	2	209782	210195	+		Lipocalin-like domain-containing protein	20149	MAG_2	BP2_3_B2_OPE-020_H12	2	208323	211460	414	1.000000	0.131931	BP2_3_B11_OPE-019_G01	BP2_3_B2_OPE-020_H12	BP2_3_B11_OPE-019_G01_92_10752_13889	BP2_3_B2_OPE-020_H12_2_208323_211460	32_1-42_2	102	102	within	US	100.0	3138	0	0	0
group_6384	Lipocalin-like domain-containing protein	2.30E-05	0.00490705	4.638272	3.54E+00	1.51E-01	N7F13S5R46_GA-J-05_F01.unicycler	FJJJGF_03400	1	796097	796510	+		Lipocalin-like domain-containing protein	20209	MAG_2	N7F13S5R46_GA-J-05_F01	1	794638	797775	414	1.000000	0.131931	BP2_3_B11_OPE-019_G01	N7F13S5R46_GA-J-05_F01	BP2_3_B11_OPE-019_G01_92_10752_13889	N7F13S5R46_GA-J-05_F01_1_794638_797775	32_1-42_2	102	102	within	US	100.0	3138	0	0	0
group_6384	Lipocalin-like domain-containing protein	2.30E-05	0.00490705	4.638272	3.54E+00	1.51E-01	N7F13S5R48_GA-J-05_H01.unicycler	OAOOED_03405	1	796097	796510	+		Lipocalin-like domain-containing protein	20146	MAG_2	N7F13S5R48_GA-J-05_H01	1	794638	797775	414	1.000000	0.131931	BP2_3_B11_OPE-019_G01	N7F13S5R48_GA-J-05_H01	BP2_3_B11_OPE-019_G01_92_10752_13889	N7F13S5R48_GA-J-05_H01_1_794638_797775	32_1-42_2	102	102	within	US	100.0	3138	0	0	0
group_6384	Lipocalin-like domain-containing protein	2.30E-05	0.00490705	4.638272	3.54E+00	1.51E-01	N7F19S5R41_GA-J-05_A07.unicycler	GJIGJI_09515	4	418798	419211	-		Lipocalin-like domain-containing protein	20141	MAG_2	N7F19S5R41_GA-J-05_A07	4	417533	420670	414	1.000000	0.131931	BP2_3_B11_OPE-019_G01	N7F19S5R41_GA-J-05_A07	BP2_3_B11_OPE-019_G01_92_10752_13889	N7F19S5R41_GA-J-05_A07_4_420670_417533	32_1-42_2	102	102	within	US	100.0	3138	0	0	0
