qseqid	Genome_file	Sample	Jay_ID	Jay_Species	Species	Cohort	secondary_cluster	skani_9999	skani_999	MGS_ID	person_id	Fullpath	subject_id	contig_id	contig_full_header	contig_depth	contig_circular	plasmid	plasmid_seq_name	plasmid_length	plasmid_topology	plasmid_n_genes	plasmid_genetic_code	plasmid_score	plasmid_fdr	plasmid_n_hallmarks	plasmid_marker_enrichment	plasmid_conjugation_genes	plasmid_amr_genes	contig_length	subject_start	subject_end	sstrand	pident	length	qlen	slen	qcov	tcov	qcovs	qstart	qend	sstart	send	evalue	bitscore	mismatch	gapopen	stitle
01_Module_A_4896bp_n29	BFD-02_E06	BFD-02_E06	BFD-02_E06	Bifidobacterium_longum	s__Bifidobacterium longum	DAG3	338_1	5328	4022	LL48_E01_4411	LL48_E01_4411	/scratch/hb-tifn/Metagenome_data/2024_Jay_Strainatlas/genomes/BFD-02_E06.unicycler.fasta	BFD-02_E06|contig000019|19	19	19 length=4896 depth=14.31x circular=true	14.31	true	0	BFD-02_E06.unicycler_19	NA		NA	NA	NA	NA	NA	NA			4896	1	4896	plus	99.98	4896	4896	4896	1	1	100	1	4896	1	4896	0	8826	1	0	BFD-02_E06|contig000019|19 19 length=4896 depth=14.31x circular=true
01_Module_A_4896bp_n29	BFD-02_F08	BFD-02_F08	BFD-02_F08	Bifidobacterium_longum	s__Bifidobacterium longum	DAG3	338_1	5331	4022	LL48_E01_4411	LL48_E01_4411	/scratch/hb-tifn/Metagenome_data/2024_Jay_Strainatlas/genomes/BFD-02_F08.unicycler.fasta	BFD-02_F08|contig000146|146	146	146 length=4896 depth=14.82x circular=true	14.82	true	0	BFD-02_F08.unicycler_146	NA		NA	NA	NA	NA	NA	NA			4896	1	4896	plus	99.98	4896	4896	4896	1	1	100	1	4896	1	4896	0	8826	1	0	BFD-02_F08|contig000146|146 146 length=4896 depth=14.82x circular=true
01_Module_A_4896bp_n29	BFD-03_A06	BFD-03_A06	BFD-03_A06	Bifidobacterium_longum	s__Bifidobacterium longum	RISEUP	338_1	4888	3764	p038	p038	/scratch/hb-tifn/Metagenome_data/2024_Jay_Strainatlas/genomes/BFD-03_A06.unicycler.fasta	BFD-03_A06|contig000085|85	85	85 length=4897 depth=18.66x circular=true	18.66	true	0	BFD-03_A06.unicycler_85	NA		NA	NA	NA	NA	NA	NA			4897	1	4897	plus	99.898	4897	4896	4897	1	1	100	1	4896	1	4897	0	8806	4	1	BFD-03_A06|contig000085|85 85 length=4897 depth=18.66x circular=true
01_Module_A_4896bp_n29	BFD-03_A12	BFD-03_A12	BFD-03_A12	Bifidobacterium_longum	s__Bifidobacterium longum	RISEUP	338_1	6082	4513	p067	p067	/scratch/hb-tifn/Metagenome_data/2024_Jay_Strainatlas/genomes/BFD-03_A12.unicycler.fasta	BFD-03_A12|contig000043|43	43	43 length=4896 depth=5.00x circular=true	5	true	0	BFD-03_A12.unicycler_43	NA		NA	NA	NA	NA	NA	NA			4896	1	4896	plus	100	4896	4896	4896	1	1	100	1	4896	1	4896	0	8830	0	0	BFD-03_A12|contig000043|43 43 length=4896 depth=5.00x circular=true
01_Module_A_4896bp_n29	BFD-03_B06	BFD-03_B06	BFD-03_B06	Bifidobacterium_longum	s__Bifidobacterium longum	RISEUP	338_1	4899	3766	p038	p038	/scratch/hb-tifn/Metagenome_data/2024_Jay_Strainatlas/genomes/BFD-03_B06.unicycler.fasta	BFD-03_B06|contig000139|139	139	139 length=4897 depth=42.24x circular=true	42.24	true	0	BFD-03_B06.unicycler_139	NA		NA	NA	NA	NA	NA	NA			4897	1	4897	plus	99.898	4897	4896	4897	1	1	100	1	4896	1	4897	0	8806	4	1	BFD-03_B06|contig000139|139 139 length=4897 depth=42.24x circular=true
01_Module_A_4896bp_n29	BFD-03_B11	BFD-03_B11	BFD-03_B11	Bifidobacterium_longum	s__Bifidobacterium longum	RISEUP	338_1	6083	4513	p067	p067	/scratch/hb-tifn/Metagenome_data/2024_Jay_Strainatlas/genomes/BFD-03_B11.unicycler.fasta	BFD-03_B11|contig000041|41	41	41 length=4896 depth=7.70x circular=true	7.7	true	0	BFD-03_B11.unicycler_41	NA		NA	NA	NA	NA	NA	NA			4896	1	4896	plus	100	4896	4896	4896	1	1	100	1	4896	1	4896	0	8830	0	0	BFD-03_B11|contig000041|41 41 length=4896 depth=7.70x circular=true
01_Module_A_4896bp_n29	BFD-03_C06	BFD-03_C06	BFD-03_C06	Bifidobacterium_longum	s__Bifidobacterium longum	RISEUP	338_1	4891	3764	p038	p038	/scratch/hb-tifn/Metagenome_data/2024_Jay_Strainatlas/genomes/BFD-03_C06.unicycler.fasta	BFD-03_C06|contig000045|45	45	45 length=4897 depth=20.50x circular=true	20.5	true	0	BFD-03_C06.unicycler_45	NA		NA	NA	NA	NA	NA	NA			4897	1	4897	plus	99.898	4897	4896	4897	1	1	100	1	4896	1	4897	0	8806	4	1	BFD-03_C06|contig000045|45 45 length=4897 depth=20.50x circular=true
01_Module_A_4896bp_n29	BFD-03_C11	BFD-03_C11	BFD-03_C11	Bifidobacterium_longum	s__Bifidobacterium longum	RISEUP	338_1	6081	4513	p067	p067	/scratch/hb-tifn/Metagenome_data/2024_Jay_Strainatlas/genomes/BFD-03_C11.unicycler.fasta	BFD-03_C11|contig000036|36	36	36 length=4896 depth=6.93x circular=true	6.93	true	1	BFD-03_C11.unicycler_36	4968	No terminal repeats	7	11	0.9985	4e-04	0	1.0505			4896	1	4896	plus	100	4896	4896	4896	1	1	100	1	4896	1	4896	0	8830	0	0	BFD-03_C11|contig000036|36 36 length=4896 depth=6.93x circular=true
01_Module_A_4896bp_n29	BFD-03_C12	BFD-03_C12	BFD-03_C12	Bifidobacterium_longum	s__Bifidobacterium longum	RISEUP	338_1	6082	4513	p067	p067	/scratch/hb-tifn/Metagenome_data/2024_Jay_Strainatlas/genomes/BFD-03_C12.unicycler.fasta	BFD-03_C12|contig000035|35	35	35 length=4896 depth=3.58x circular=true	3.58	true	1	BFD-03_C12.unicycler_35	4947	No terminal repeats	4	11	0.9996	4e-04	1	3.278			4896	1	4896	plus	100	4896	4896	4896	1	1	100	1	4896	1	4896	0	8830	0	0	BFD-03_C12|contig000035|35 35 length=4896 depth=3.58x circular=true
01_Module_A_4896bp_n29	BFD-03_D11	BFD-03_D11	BFD-03_D11	Bifidobacterium_longum	s__Bifidobacterium longum	RISEUP	338_1	6080	4513	p067	p067	/scratch/hb-tifn/Metagenome_data/2024_Jay_Strainatlas/genomes/BFD-03_D11.unicycler.fasta	BFD-03_D11|contig000052|52	52	52 length=4896 depth=6.71x circular=true	6.71	true	0	BFD-03_D11.unicycler_52	NA		NA	NA	NA	NA	NA	NA			4896	1	4896	plus	100	4896	4896	4896	1	1	100	1	4896	1	4896	0	8830	0	0	BFD-03_D11|contig000052|52 52 length=4896 depth=6.71x circular=true
